name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
Abbey RC Primary School,Erdington,Primary,West Midlands,office@abbeyrc.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Acocks Green Primary School,Acocks Green,Primary,West Midlands,enquiry@acocksgreen.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Adderley Primary School,Adderley Park,Primary,West Midlands,enquiry@adderley.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Al-Furqan Primary School,Tyseley,Primary,West Midlands,enquiries@al-furqan-pri.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Albert Bradbeer Primary Academy,Northfield,Primary,West Midlands,enquiry@abp.greenheartlearning.org,,,,,,,,,,,,False,False,,False,,Birmingham
Allens Croft Primary School,Kings Heath,Primary,West Midlands,enquiry@allcroft.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Alston Primary School,Bordesley Green,Primary,West Midlands,enquiry@alston.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Anderton Park Primary School,Sparkhill,Primary,West Midlands,enquiry@anderton.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Anglesey Primary School,Lozells,Primary,West Midlands,enquiry@anglesey.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Arden Primary School,Sparkhill,Primary,West Midlands,enquiry@arden.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Ark Kings Academy,Kings Norton,Primary,West Midlands,info@arkkingsacademy.org,,,,,,,,,,,,False,False,,False,,Birmingham
Ark Tindal Primary Academy,Balsall Heath,Primary,West Midlands,info@arktindalprimary.org,,,,,,,,,,,,False,False,,False,,Birmingham
Ark Victoria Academy,Small Heath,Primary,West Midlands,info@arkvictoria.org,,,,,,,,,,,,False,False,,False,,Birmingham
Aston Tower Community Primary School,Aston,Primary,West Midlands,enquiry@astontower.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Audley Primary School,Stechford,Primary,West Midlands,enquiry@audley.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Barford Primary School,Edgbaston,Primary,West Midlands,enquiry@barfordprimary.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Barr View Primary Academy,Great Barr,Primary,West Midlands,seesaw@barrview.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Beeches Infant School,Perry Beeches,Primary,West Midlands,enquiry@beechesinf.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Beeches Junior School,Perry Beeches,Primary,West Midlands,enquiry@beechesjnr.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Bellfield Infant School,Northfield,Primary,West Midlands,enquiry@bellfield-inf.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Bellfield Junior School,Northfield,Primary,West Midlands,enquiry@bellfield-jun.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Bells Farm Primary School,Druids Heath,Primary,West Midlands,enquiry@bellsfrm.bham.sch,,,,,,,,,,,,False,False,,False,,Birmingham
Benson Community School,Hockley,Primary,West Midlands,info@oasisbenson.org,,,,,,,,,,,,False,False,,False,,Birmingham
Billesley Primary School,Billesley,Primary,West Midlands,info@elliotfoundation.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Birches Green Primary School,Erdington,Primary,West Midlands,enquiry@birchesgreen.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Birchfield Primary School,Aston,Primary,West Midlands,enquiry@birchfld.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Blakesley Hall Primary School,Yardley,Primary,West Midlands,enquiry@blakesley.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Boldmere Infant School,Boldmere,Primary,West Midlands,enquiry-inf@boldmere.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Boldmere Junior School,Boldmere,Primary,West Midlands,enquiry-jun@boldmere.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Bordesley Green Primary School,Bordesley Green,Primary,West Midlands,enquiry@bordsgrn.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Bordesley Village Primary School,Bordesley,Primary,West Midlands,enquiry@bvcs.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Bournville School,Bournville,Primary,West Midlands,post@bournville.fmat.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
