name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn
Hadfield Nursery School,Local authority nursery school,Open,Queen Street,Hadfield,Glossop,Derbyshire,SK13 2DW,www.hadfieldnursery.co.uk,1457852297.0,Mr,Kenneth,Weed,Headteacher,Does not apply,Mixed,Nursery,,High Peak,112469
Gamesley Early Excellence Centre,Local authority nursery school,Open,Winster Mews,Gamesley,Glossop,Derbyshire,SK13 0LU,www.gamesleyeec.org.uk,1457860456.0,Mrs,Deborah,Meredith,Headteacher,Does not apply,Mixed,Nursery,,High Peak,112470
Lord Street Nursery School,Local authority nursery school,Open,Lord Street,Allenton,Derby,Derbyshire,DE24 9AX,www.lordstreet.derby.sch.uk.,1332349363.0,Mrs,Clare,Hamilton,Headteacher,Does not apply,Mixed,Nursery,,Derby South,112471
Central Community Nursery School,Local authority nursery school,Open,43 Nuns Street,,Derby,Derbyshire,DE1 3LR,www.canschoolsfederation.co.uk,1332342647.0,Mrs,Helen,Fearn,Headteacher,Does not apply,Mixed,Nursery,,Derby North,112472
Harrington Nursery School,Local authority nursery school,Open,Harrington Street,Peartree,Derby,Derbyshire,DE23 8PE,www.harrington.derby.sch.uk,1332769821.0,Mrs,Kelly,Royle,Headteacher,Does not apply,Mixed,Nursery,,Derby South,112474
Walbrook Nursery School,Local authority nursery school,"Open, but proposed to close",Middleton Street,,Derby,Derbyshire,DE23 8QJ,http://www.peartreeinfantandnursery.co.uk,1332772434.0,Mrs,Balbinder,Suddhi,Interim Headteacher,Does not apply,Mixed,Nursery,,Derby South,112475
Stonehill Nursery School,Local authority nursery school,Open,Stonehill Road,,Derby,Derbyshire,DE23 6TJ,http://stonehillnurseryderby.com/,1332341636.0,Mrs,Louise,Foster,Headteacher,Does not apply,Mixed,Nursery,,Derby South,112476
New Mills Nursery School,Local authority nursery school,Open,Sett Close,New Mills,High Peak,Derbyshire,SK22 4AQ,http://www.newmills-nur.derbyshire.sch.uk/,1663745098.0,Miss,Claire,Inman,Headteacher,Does not apply,Mixed,Nursery,,High Peak,112477
Ripley Nursery School,Local authority nursery school,Open,Sandham Lane,,Ripley,Derbyshire,DE5 3HE,www.ripley-nur.derbyshire.sch.uk,1773745014.0,Mrs,Nicola,Brown,Headteacher,Does not apply,Mixed,Nursery,,Amber Valley,112478
Ashgate Nursery School,Local authority nursery school,Open,18 Stepping Lane,,Derby,Derbyshire,DE1 1GJ,www.canschoolsfederation.co.uk,1332371769.0,Mrs,Helen,Fearn,Headteacher,Does not apply,Mixed,Nursery,,Derby North,112479
Whitecross Nursery School,Local authority nursery school,Open,Watson Street,,Derby,Derbyshire,DE1 3PJ,www.whitecross.derby.sch.uk,1332371876.0,Mrs,Claire,FitzPatrick,Headteacher,Does not apply,Mixed,Nursery,,Derby North,112480
Flagg Nursery School,Local authority nursery school,Open,Main Road,Flagg,Near Buxton,Derbyshire,SK17 9QT,www.flagg.derbyshire.sch.uk,129885208.0,Mrs,Sarah,Brown,Headteacher,Does not apply,Mixed,Nursery,,Derbyshire Dales,112481
South Normanton Nursery School,Local authority nursery school,Open,Hamlet Lane,South Normanton,Alfreton,Derbyshire,DE55 2JB,http://www.southnormantonnurseryschool.co.uk,1773810876.0,Mr,Peter,Hallsworth,Headteacher,Does not apply,Mixed,Nursery,,Bolsover,112484
Leys Junior School,Community school,Open,Flowery Leys Lane,,Alfreton,Derbyshire,DE55 7HA,www.leysjuniorschool.org.uk,1773832895.0,Mrs,Nichola,Way,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112492
Croft Infant School,Community school,Open,Marshall Street,,Alfreton,Derbyshire,DE55 7BW,www.croftinfant.co.uk,1773832307.0,Mrs,Sally,Swain,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112493
