name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Hadfield Nursery School,Local authority nursery school,Open,Queen Street,Hadfield,Glossop,Derbyshire,SK13 2DW,www.hadfieldnursery.co.uk,1457852297.0,Mr,Kenneth,Weed,Headteacher,Does not apply,Mixed,Nursery,,High Peak,112469,info@hadfield-nur.derbyshire.sch.uk,True,False,Good,True,
Gamesley Early Excellence Centre,Local authority nursery school,Open,Winster Mews,Gamesley,Glossop,Derbyshire,SK13 0LU,www.gamesleyeec.org.uk,1457860456.0,Mrs,Deborah,Meredith,Headteacher,Does not apply,Mixed,Nursery,,High Peak,112470,Enquiries@gamesleyeec.derbyshire.sch.uk,False,False,,False,
Lord Street Nursery School,Local authority nursery school,Open,Lord Street,Allenton,Derby,Derbyshire,DE24 9AX,www.lordstreet.derby.sch.uk.,1332349363.0,Mrs,Clare,Hamilton,Headteacher,Does not apply,Mixed,Nursery,,Derby South,112471,admin@lordstreet.derby.sch.uk,True,False,,True,
Central Community Nursery School,Local authority nursery school,Open,43 Nuns Street,,Derby,Derbyshire,DE1 3LR,www.canschoolsfederation.co.uk,1332342647.0,Mrs,Helen,Fearn,Headteacher,Does not apply,Mixed,Nursery,,Derby North,112472,hwatson@central.derby.sch.uk,False,False,,True,
Harrington Nursery School,Local authority nursery school,Open,Harrington Street,Peartree,Derby,Derbyshire,DE23 8PE,www.harrington.derby.sch.uk,1332769821.0,Mrs,Kelly,Royle,Headteacher,Does not apply,Mixed,Nursery,,Derby South,112474,admin@harrington.derby.sch.uk,False,False,Outstanding,True,
Walbrook Nursery School,Local authority nursery school,"Open, but proposed to close",Middleton Street,,Derby,Derbyshire,DE23 8QJ,http://www.peartreeinfantandnursery.co.uk,1332772434.0,Mrs,Balbinder,Suddhi,Interim Headteacher,Does not apply,Mixed,Nursery,,Derby South,112475,admin@peartreei.derby.sch.uk,True,False,,True,
Stonehill Nursery School,Local authority nursery school,Open,Stonehill Road,,Derby,Derbyshire,DE23 6TJ,http://stonehillnurseryderby.com/,1332341636.0,Mrs,Louise,Foster,Headteacher,Does not apply,Mixed,Nursery,,Derby South,112476,inclusion@dale.derby.sch.uk,False,False,,True,
New Mills Nursery School,Local authority nursery school,Open,Sett Close,New Mills,High Peak,Derbyshire,SK22 4AQ,http://www.newmills-nur.derbyshire.sch.uk/,1663745098.0,Miss,Claire,Inman,Headteacher,Does not apply,Mixed,Nursery,,High Peak,112477,info@newmills-nur.derbyshire.sch.uk,True,False,,True,
Ripley Nursery School,Local authority nursery school,Open,Sandham Lane,,Ripley,Derbyshire,DE5 3HE,www.ripley-nur.derbyshire.sch.uk,1773745014.0,Mrs,Nicola,Brown,Headteacher,Does not apply,Mixed,Nursery,,Amber Valley,112478,kerry.hartwell@ripley-nur.derbyshire.sch.uk,True,True,,True,
Ashgate Nursery School,Local authority nursery school,Open,18 Stepping Lane,,Derby,Derbyshire,DE1 1GJ,www.canschoolsfederation.co.uk,1332371769.0,Mrs,Helen,Fearn,Headteacher,Does not apply,Mixed,Nursery,,Derby North,112479,admin@ashgaten.derby.sch.uk,True,False,,True,
Whitecross Nursery School,Local authority nursery school,Open,Watson Street,,Derby,Derbyshire,DE1 3PJ,www.whitecross.derby.sch.uk,1332371876.0,Mrs,Claire,FitzPatrick,Headteacher,Does not apply,Mixed,Nursery,,Derby North,112480,admin@whitecross.derby.sch.uk,False,False,,True,
Flagg Nursery School,Local authority nursery school,Open,Main Road,Flagg,Near Buxton,Derbyshire,SK17 9QT,www.flagg.derbyshire.sch.uk,129885208.0,Mrs,Sarah,Brown,Headteacher,Does not apply,Mixed,Nursery,,Derbyshire Dales,112481,info@flagg.derbyshire.sch.uk,False,False,,False,
South Normanton Nursery School,Local authority nursery school,Open,Hamlet Lane,South Normanton,Alfreton,Derbyshire,DE55 2JB,http://www.southnormantonnurseryschool.co.uk,1773810876.0,Mr,Peter,Hallsworth,Headteacher,Does not apply,Mixed,Nursery,,Bolsover,112484,info@southnormanton.derbyshire.sch.uk,False,False,,True,
Leys Junior School,Community school,Open,Flowery Leys Lane,,Alfreton,Derbyshire,DE55 7HA,www.leysjuniorschool.org.uk,1773832895.0,Mrs,Nichola,Way,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112492,enquiries@leys.derbyshire.sch.uk,True,False,Good,True,
Croft Infant School,Community school,Open,Marshall Street,,Alfreton,Derbyshire,DE55 7BW,www.croftinfant.co.uk,1773832307.0,Mrs,Sally,Swain,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112493,info@croft.derbyshire.sch.uk,True,False,,False,
Woodbridge Junior School,Community school,Open,Grange Street,,Alfreton,Derbyshire,DE55 7JA,www.woodbridge.derbyshire.sch.uk/,1773833138.0,Ms,Emma,Hanson,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112494,info@woodbridge.derbyshire.sch.uk,False,False,,False,
Riddings Infant and Nursery School,Community school,Open,West Street,Riddings,Alfreton,Derbyshire,DE55 4EW,https://www.riddingsinfantandnursery.co.uk/,1773602767.0,Mrs,Rachel,Farnsworth,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112496,info@riddings-inf.derbyshire.sch.uk,True,True,,True,
Swanwick Primary School,Community school,Open,South Street,Swanwick,Alfreton,Derbyshire,DE55 1BZ,http://www.swanwick.derbyshire.sch.uk,1773602268.0,Mr,Ben,Wray,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112500,info@swanwick.derbyshire.sch.uk,True,False,,True,
Ashover Primary School,Community school,Open,Narrowleys Lane,Ashover,Chesterfield,Derbyshire,S45 0AU,www.ashover.derbyshire.sch.uk/,1246590207.0,Mrs,Sue,Myhill,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112501,caren.smith@ashover.derbyshire.sch.uk,True,False,,True,
Aston-on-Trent Primary School,Community school,Open,Long Croft,Aston-on-Trent,Derby,Derbyshire,DE72 2UH,www.aston-on-trent.derbyshire.sch.uk,1332799478.0,Mr,Sam,Moore,Headteacher,Does not apply,Mixed,Primary,,South Derbyshire,112502,enquiries@aston-on-trent.derbyshire.sch.uk,True,False,Good,True,
Bramley Vale Primary & Nursery School,Community school,Open,York Crescent,Doe Lea,Chesterfield,Derbyshire,S44 5PF,https://www.bramleyvaleprimary.com/,1246850289.0,Mr,Robert,Rumsby,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112503,info@bramleyvale.derbyshire.sch.uk,True,False,,True,
Bamford Primary School,Community school,Open,Fidlers Well,Bamford,Hope Valley,Derbyshire,S33 0AR,www.bamford.derbyshire.sch.uk/,1433651267.0,Mrs,Kate,Gemmell,Headteacher,Does not apply,Mixed,Primary,,High Peak,112504,enquiries@bamford.derbyshire,False,True,Good,True,
Barlborough Primary School,Community school,Open,High Street,Barlborough,Chesterfield,Derbyshire,S43 4ET,barlborough.derbyshire.sch.uk,1246810381.0,Mr,Frank,Reardon,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112505,info@barlborough.derbyshire.sch.uk,True,False,Good,True,
Blackwell Community Primary and Nursery School,Community school,Open,Primrose Hill,Blackwell,Alfreton,Derbyshire,DE55 5JG,www.blackwellprimary.co.uk,1773811281.0,Mrs,Gill,Gardner,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112506,enquiries@blackwell.derbyshire.sch,False,False,,False,
Newton Primary School,Community school,Open,Hall Lane,Newton,Alfreton,Derbyshire,DE55 5TL,www.newton.derbyshire.sch.uk/,1773872384.0,Mrs,Kim,Stow,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112507,info@newton.derbyshire.sch.uk,True,True,,True,
Westhouses Primary School,Community school,Open,Bolden Terrace,Westhouses,Alfreton,Derbyshire,DE55 5AF,http://www.westhouses.derbyshire.sch.uk,1773832518.0,Mrs,Juliette,Whitby,,Does not apply,Mixed,Primary,,Bolsover,112508,Usinfo@westhouses.derbyshire.sch.uk,True,False,,True,
New Bolsover Primary and Nursery School,Community school,Open,New Station Road,Bolsover,Chesterfield,Derbyshire,S44 6PY,,1246823240.0,Ms,Gillian,Clubbs,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112509,info@newbolsover.derbyshire.sch.uk,,,,False,
Brockley Primary School,Community school,Open,Clowne Road,Shuttlewood,Chesterfield,Derbyshire,S44 6AF,www.brockley.derbyshire.sch.uk,1246823344.0,Mrs,Caroline,Rodgers,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112510,headteacher@brockley.derbyshire.sch.uk,True,False,Good,True,
Bolsover Infant School,Community school,Open,Welbeck Road,Bolsover,Chesterfield,Derbyshire,S44 6DE,www.bolsover-inf.derbyshire.sch.uk/,1246823181.0,Ms,Fiona,Cowan,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112511,info@bolsover-inf.derbyshire.sch.uk,True,False,Good,True,
Cutthorpe Primary School,Community school,Open,School Hill,Cutthorpe,Chesterfield,Derbyshire,S42 7AS,http://www.cutthorpe.com,1246234585.0,Mr,James,Dowse,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112513,info@cutthorpe.derbyshire.sch.uk,True,True,,True,"Mrs Suzanne Kane, Miss Sarah Johnston, Mrs Anna Mc"
Wigley Primary School,Community school,Open,Wigley,Old Brampton,Chesterfield,Derbyshire,S42 7JJ,www.wigley.derbyshire.sch.uk,1246566432.0,Mr,David,Ratcliffe (Executive),Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112514,support@.eschools.co.uk,True,False,Good,True,
Brassington Primary School,Community school,Open,School Hill,Brassington,Matlock,Derbyshire,DE4 4HB,http://www.brassingtonprimary.co.uk,1629540212.0,Mr,Peter,Johnston,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112515,brassington@thevillagefederation.co.uk,True,False,,True,
Firfield Primary School,Community school,Open,Firfield Avenue,Breaston,Derby,Derbyshire,DE72 3EG,www.firfield.derbyshire.sch.uk/,1332872216.0,Mr,James,Yellop,Headteacher,Does not apply,Mixed,Primary,,Erewash,112516,enquiries@firfield.derbyshire.sch.uk,False,False,,True,
Henry Bradley Infant School,Community school,Open,Princess Street,Brimington,Chesterfield,Derbyshire,S43 1HR,https://www.henrybradleyschool.co.uk/,1246273857.0,Mrs,Tracy,O'Malley,Headteacher,Does not apply,Mixed,Primary,,Chesterfield,112519,enquiries@henrybradley.derbyshire.sch.uk,True,True,,True,
Burbage Primary School,Community school,Open,Cavendish Avenue,Burbage,Buxton,Derbyshire,SK17 9AE,www.burbage.derbyshire.sch.uk,129822278.0,Mr,Anthony,Tierney,Headteacher,Does not apply,Mixed,Primary,,High Peak,112520,enquiries@burbage.derbyshire.sch.uk,True,False,,True,
Buxton Junior School,Community school,Open,Buxton Junior School,Mosley Road,Buxton,Derbyshire,SK17 9DR,http://www.buxtonjuniorschool.co.uk,129822156.0,Mrs,Ros,Carter,Headteacher,Does not apply,Mixed,Primary,,High Peak,112521,info@buxton-jun.derbyshire.sch.uk,True,True,,True,
Buxton Infant School,Community school,Open,Hardwick Square,,Buxton,Derbyshire,SK17 6QB,http://www.buxton-inf.derbyshire.sch.uk,129822499.0,Mrs,Jude,Boyd,Headteacher,Does not apply,Mixed,Primary,,High Peak,112522,smile@buxton-inf.derbyshire.sch.uk,False,False,,False,
Harpur Hill Primary School,Community school,Open,Trent Avenue,Harpur Hill,Buxton,Derbyshire,SK17 9LP,http://www.harpurhill.derbyshire.sch.uk,129823261.0,Mrs,Vicky,Giliker,Headteacher,Does not apply,Mixed,Primary,,High Peak,112523,info@harpurhill.derbyshire.sch.uk,True,False,Good,False,
Combs Infant School,Community school,Open,Lesser Lane,Chapel-en-le-Frith,Combs High Peak,Derbyshire,SK23 9UZ,http://www.combsinfantschool.com,1298813120.0,Miss,Joanna,Sweatmore,Headteacher,Does not apply,Mixed,Primary,,High Peak,112525,info@combs.derbyshire.sch.uk,True,True,,False,
Buxworth Primary School,Community school,Open,Station Road,Buxworth,High Peak,Derbyshire,SK23 7NJ,http://www.buxworthprimaryschool.org.uk,1663732426.0,Mr,Paul,Bertram,Co-Headteacher,Does not apply,Mixed,Primary,,High Peak,112526,info@buxworth.derbyshire.sch.uk,True,False,,False,
Chinley Primary School,Foundation school,Open,Buxton Road,,Chinley,Derbyshire,SK23 6DR,www.chinley.derbyshire.sch.uk/,1663750367.0,Mr,Peter,Lambert,Headteacher,,Mixed,Primary,,High Peak,112527,info@chinley.derbyshire.sch.uk,False,False,,False,
Holmgate Primary School and Nursery,Community school,Open,Holmgate Road,Clay Cross,Chesterfield,Derbyshire,S45 9QD,www.holmgate.derbyshire.sch.uk,1246862270.0,Mrs,Ffion,Thornton,Acting Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112530,admin@holmgate.derbyshire.sch.uk,True,False,Good,True,
Clowne Junior School,Community school,Open,King Street,Clowne,Chesterfield,Derbyshire,S43 4BS,http://www.clowne-jun.derbyshire.sch.uk,1246810416.0,Mrs,Charlotte,Newton-Wall,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112532,enquiries@clowne-jun.derbyshire.sch.uk,True,True,,True,
Clowne Infant and Nursery School,Community school,Open,Ringer Lane,Clowne,Chesterfield,Derbyshire,S43 4DB,http://www.clowne-inf.derbyshire.sch.uk,1246810518.0,Mrs,Susie,Kirby,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112533,info@clowne-inf.derbyshire.sch.uk,True,False,,False,
Crich Junior School,Community school,Open,School Lane,Crich,Matlock,Derbyshire,DE4 5DF,www.crich-jun.derbyshire.sch.uk,1773852384.0,Mr,Christian,Orridge,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112534,info@crich-jun.derbyshire.sch.uk,False,False,,False,
Curbar Primary School,Community school,Open,Calver Bridge,Calver,Hope Valley,Derbyshire,S32 3XA,www.curbarprimary.co.uk,1433630266.0,Mr,Simon,Beahan,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112535,,True,False,,True,
Lea Primary School,Community school,Open,Church Street,Lea,Matlock,Derbyshire,DE4 5JP,www.frameworkfederation.co.uk,1629534286.0,Mrs,Karen,Maycock,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112536,info@lea-pri.derbyshire.sch.uk,True,True,,True,
Doveridge Primary School,Community school,Open,14 Chapel Green,Doveridge,Ashbourne,Derbyshire,DE6 5JY,www.doveridge.derbyshire.sch.uk,1889563346.0,Mrs,Natasha,Clark,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112537,example@gmail.com,True,False,Good,True,
Dronfield Junior School,Community school,Open,School Lane,,Dronfield,Derbyshire,S18 1RY,http://www.dronfield-jun.derbyshire.sch.uk,1246413145.0,Mrs,Nicola,Thomson,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112539,info@dronfield-jun.derbyshire,False,False,,False,
Dronfield Infant School,Community school,Open,School Lane,,Dronfield,Derbyshire,S18 1RY,http://www.dronfield-inf.derbyshire.sch.uk,1246412302.0,Mrs,Rebecca,King,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112540,enquiries@dronfield-inf.derbyshire.sch.uk,True,False,,True,
William Levick Primary School,Community school,Open,Smithy Croft,Dronfield Woodhouse,Dronfield,Derbyshire,S18 8YB,www.williamlevick.co.uk,1142890670.0,Mrs,Helen,Peckett (Acting),Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112541,info@williamlevick.derbyshire.sch.uk,True,False,,True,
Birk Hill Infant & Nursery School,Community school,Open,Chestnut Avenue,,Eckington,Derbyshire,S21 4BE,www.birkhill.derbyshire.sch.uk,1246433205.0,Mrs,Sue,Birch,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112543,enquiries@birkhill.derbyshire.sch.uk,True,True,,False,
Renishaw Primary School,Community school,Open,Hague Lane,Renishaw,Sheffield,Derbyshire,S21 3UR,www.renishawprimary.org.uk,1246432366.0,Mr,Simon,Fuller,Head Teacher,Does not apply,Mixed,Primary,,North East Derbyshire,112545,info@renishaw.derbyshire.sch.uk,False,False,,False,
Ridgeway Primary School,Community school,Open,Main Road,Ridgeway,Sheffield,Derbyshire,S12 3XR,http://www.ridgewayprimary.com/,1142486249.0,Mr,Iain,Wilson,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112546,info@ridgeway.derbyshire.sch.uk,True,True,Good,True,
Egginton Primary School,Community school,Open,Church Road,Egginton,Derby,Derbyshire,DE65 6HP,www.egginton.derbyshire.sch.uk/,1283732748.0,Mr,Jason,Cunningham,Headteacher,Does not apply,Mixed,Primary,,South Derbyshire,112547,info@egginton.derbyshire.sch.uk,True,False,,True,
Etwall Primary School,Community school,Open,Egginton Road,Etwall,Derby,Derbyshire,DE65 6NB,https://etwall-primary.eschools.co.uk,1283732301.0,Mrs,Sarah,Bentley,Headteacher,Does not apply,Mixed,Primary,01/01/1900,South Derbyshire,112549,info@etwall.derbyshire.sch.uk,False,False,,True,
Grindleford Primary School,Community school,Open,Sir William Hill,Grindleford,Hope Valley,Derbyshire,S32 2HS,www.grindlefordprimaryschool.co.uk/,1433630528.0,Mrs,Kate,Gemmell,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112550,info@grindleford.derbyshire.sch.uk,True,False,,True,
Findern Primary School,Community school,Open,Buckford Lane,Findern,Derby,Derbyshire,DE65 6AR,www.findern.derbyshire.sch.uk/,1283702150.0,Mr,James,Goodman,Headteacher,Does not apply,Mixed,Primary,,South Derbyshire,112551,info@findern.derbyshire.sch.uk,True,True,,True,
Padfield Community Primary School,Community school,Open,Rhodes Street,Padfield,Glossop,Derbyshire,SK13 1EQ,https://www.padfieldschool.co.uk,1457852751.0,Ms,Anne,Moore,Headteacher,Does not apply,Mixed,Primary,,High Peak,112552,enquiry@padfield.derbyshire.sch.uk,False,False,,False,
Grassmoor Primary School,Community school,Open,North Wingfield Road,Grassmoor,Chesterfield,Derbyshire,S42 5EP,www.grassmoor.derbyshire.sch.uk/,1246850349.0,Mrs,Sharon,James,Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112553,info@grassmoor.derbyshire.sch.uk,True,False,,True,
Hayfield Primary School,Community school,Open,Swallow House Lane,Hayfield,High Peak,Derbyshire,SK22 2HB,https://www.hayfieldprimaryschool.org.uk/,1663742357.0,Mr,Stefan,Papadopoulos,Headteacher,Does not apply,Mixed,Primary,,High Peak,112554,example@gmail.com,True,True,,True,
Marlpool Junior School,Community school,Open,Claramount Road,,Heanor,Derbyshire,DE75 7HS,,1773712505.0,Mrs,Louise,Thorpe,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112561,info@marlpool-jun.derbyshire.sch.uk,,,,False,
Marlpool Infant School,Community school,Open,Prospect Road,Marlpool,Heanor,Derbyshire,DE75 7NF,www.marlpoolinfants.co.uk/,1773717647.0,Mrs,L,Thorpe,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112562,info@marlpool-inf.derbyshire.sch.uk,False,False,,False,
Coppice Primary School,Community school,Open,Roper Avenue,Marlpool,Heanor,Derbyshire,DE75 7BZ,www.coppice.derbyshire.sch.uk/,1773712840.0,Mrs,Alison,Seaton,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112563,info@coppice.derbyshire.sch.uk,True,False,,True,"Mrs Alison Seaton, Mrs Sharon Allsopp, Mr Steve Rogers"
Penny Acres Primary School,Community school,Open,The Common,Holmesfield,Dronfield,Derbyshire,S18 7WP,www.pennyacres.derbyshire.sch.uk,1142890330.0,Mr,David,Ratcliffe(Executive),Headteacher,Does not apply,Mixed,Primary,,North East Derbyshire,112565,support@.eschools.co.uk,True,False,Good,True,
Hope Primary School,Community school,Open,Edale Road,Hope,Hope Valley,Derbyshire,S33 6ZF,www.hope.derbyshire.sch.uk,1433620541.0,Mrs,Sally,Winfield,Headteacher,Does not apply,Mixed,Primary,,High Peak,112566,enquiries@hope.derbyshire.sch.uk,True,True,,True,
Cotmanhay Junior School,Community school,Open,Beauvale Drive,,Ilkeston,Derbyshire,DE7 8RR,http://www.cotmanhay-jun.derbyshire.sch.uk/,1159322011.0,Mr,Simon,Robinson,Headteacher,Does not apply,Mixed,Primary,,Erewash,112569,info@cotmanhay-jun.derbyshire.sch.uk,True,True,Good,True,
Cotmanhay Infant and Nursery School,Community school,Open,Beauvale Drive,Cotmanhay,Ilkeston,Derbyshire,DE7 8RR,www.cotmanhayinfants.co.uk,1159302064.0,Miss,Katy,Latchford,Headteacher,Does not apply,Mixed,Primary,,Erewash,112570,info@cotmanhay-inf.derbyshire.sch.uk,False,False,,False,
Granby Junior School,Community school,Open,Heanor Road,,Ilkeston,Derbyshire,DE7 8DX,www.granbyjuniorschool.co.uk,1159322424.0,Mrs,Caroline,Rees,Headteacher,Does not apply,Mixed,Primary,,Erewash,112571,enquiries@granby.derbyshire.sch.uk,False,False,,False,
Hallam Fields Junior School,Community school,Open,Longfield Lane,,Ilkeston,Derbyshire,DE7 4DB,www.hallamfields.derbyshire.sch.uk,1159322568.0,Mr,David,Brown,Headteacher,Does not apply,Mixed,Primary,,Erewash,112572,enquiries@hallamfields.derbyshire.sch.uk,True,False,,True,"Mrs Sharron Ashby, Mrs Sharron Ashby"
Charlotte Nursery and Infant School,Community school,Open,Trinity Close,,Ilkeston,Derbyshire,DE7 8LQ,www.charlotte-school.co.uk,1159320970.0,Miss,Emma,Pitman,Headteacher,Does not apply,Mixed,Primary,,Erewash,112575,info@charlotte.derbyshire.sch.uk,True,False,Outstanding,True,
