name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
Alder Coppice Primary School,Sedgley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Amblecote Primary School,Amblecote,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Ashwood Park Primary School,Wordsley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Beechwood CE Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Belle Vue Primary School,Wordsley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Blanford Mere Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Blowers Green Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Bramford Primary School,Coseley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Brierley Hill Primary School,Brierley Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Brockmoor Primary School,Brockmoor,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Bromley Hills Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
The Bromley-Pensnett Primary School,Pensnett,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Brook Primary School,Wordsley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Caslon Primary Community School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Christ Church CE Primary School,Coseley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Church of the Ascension CE Primary School,Wall Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Colley Lane Primary Academy,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Cotwall End Primary School,Sedgley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Cradley CE Primary School,Cradley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Crestwood Park Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Dawley Brook Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Dingle Community Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Dudley Wood Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Fairhaven Primary School,Wordsley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Foxyards Primary School,Coseley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Gig Mill Primary School,Norton,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Glynne Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Greenfield Primary School,Stourbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Halesowen CE Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Ham Dingle Primary Academy,Pedmore,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Hawbush Primary School,Brierley Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Hob Green Primary School,Stourbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Howley Grange Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Huntingtree Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Hurst Green Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Hurst Hill Primary School,Hurst Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Jesson's CE Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Kates Hill Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Lapal Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Lutley Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Maidensbridge Primary School,Wall Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Manor Way Primary Academy,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Milking Bank Primary School,Milking Bank,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Mount Pleasant Primary School,Quarry Bank,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Netherbrook Primary School,Netherton,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Netherton CE Primary School,Netherton,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Newfield Park Primary School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Northfield Road Primary School,Netherton,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Oldswinford CE Primary School,Stourbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Olive Hill Primary Academy,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Our Lady and St Kenelm RC School,Halesowen,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Pedmore CE Primary School,Pedmore,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Peters Hill Primary School,Amblecote,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Priory Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Quarry Bank Primary School,Quarry Bank,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Queen Victoria Primary School,Sedgley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Red Hall Primary School,Lower Gornal,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
The Ridge Primary School,Wollaston,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Roberts Primary School,Lower Gornal,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Rufford Primary School,Stourbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
Russells Hall Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St Chad's RC Primary School,Sedgley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St James's CE Primary School,Wollaston,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St Joseph's RC Primary School,Dudley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St Joseph's RC Primary School,Stourbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St Margaret's at Hasbury CE Primary School,Hasbury,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St Mark's CE Primary School,Pensnett,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
St Mary's CE Primary School,Kingswinford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Dudley
