name,town,postcode,phone,website,email
John Ferneley College,Melton Mowbray,LE13 1LH,1664565901.0,http://www.johnferneley.org,info@mowbrayeducation.org
Humphrey Perkins School,Loughborough,LE12 8JU,1509412385.0,www.humphreyperkins.org.uk,office@humphreyperkins.org.uk
The Martin High School Anstey,Leicester,LE7 7EB,1162363291.0,www.martinhigh.org.uk,office@martinhigh.org.uk
Glen Hills Primary School,Leicester,LE2 9NY,1162782535.0,www.glen-hills.leics.sch.uk/,office@glen-hills.leics.sch.uk
Fairfield Community Primary School,Wigston,LE18 4WA,1162782424.0,http://www.fairfieldcpschool.co.uk,office@fairfd.leics.sch.uk
Dorothy Goodman School Hinckley,Hinckley,LE10 0EA,1455634582.0,www.dorothygoodman.co.uk,sais@nhs.net
St Thomas More Catholic Voluntary Academy,Leicester,LE2 3TA,1162706365.0,www.thomasmoreprimary.org.uk/,office@st-thomasmore.leicester.sch.uk
Sacred Heart Catholic Voluntary Academy,Loughborough,LE11 2BG,1509212204.0,http://sacredheartacademy.org.uk,office@sacredheart.leicester.sch.uk
The Newbridge School,Coalville,LE67 3SJ,1530831561.0,http://www.newbridge.org.uk,info@newbridge.org.uk
Heath Lane Academy,Leicester,LE9 7PD,1455845061.0,https://www.heathlaneacademy.org.uk,enquiries@heathlaneacademy.org.uk
Farndon Fields Primary School,Market Harborough,LE16 9JH,1858464744.0,www.farndonfields.org,info@discoveryschoolstrust.org.uk
Kibworth Church of England Primary School,Leicester,LE8 0NH,1162792485.0,www.kibprimary.leics.sch.uk,office@dsatkibworth.org
The Castle Rock School,Coalville,LE67 4BR,1530834368.0,https://www.castlerock.org.uk/,info@castlerock.org.uk
Queensmead Primary Academy,Leicester,LE3 1PF,1162858518.0,http://www.queensmeadacademy.org,admin@queensmeadacademy.org
Long Field Spencer Academy,Melton Mowbray,LE13 0BN,1664561234.0,http://www.longfieldtrust.org.uk,help@longfieldspencer.org.uk
Ashby Hill Top Primary School,Ashby-de-la-Zouch,LE65 2NF,1530415736.0,www.ashbyhilltop.leics.sch.uk,office@ashbyhilltop.leics.sch.uk
Gaddesby Primary School,Leicester,LE7 4WF,1664840253.0,http://www.gaddesby.bepschools.org/,
Lady Jane Grey Primary School,Leicester,LE6 0ZA,1162320031.0,www.ladyjanegreyprimary.org.uk/,info@active-together.org
Madani Boys School,Leicester,LE5 5LL,1162498080.0,https://madani.school,SENCO@madani.leicester.sch.uk
Broom Leys School,Coalville,LE67 4DB,1530832234.0,http://www.broomleys.org.uk,Info@broomleys.org.uk
Holywell Primary School,Loughborough,LE11 3SJ,1509231347.0,http://www.holywell.leics.sch.uk/,rachel.shanks@holywell.leics.sch.uk
Thrussington Church of England Primary School,Leicester,LE7 4TH,1664424421.0,http://www.thrussington.leics.sch.uk/,office@thrussington.leics.sch.uk
Church Hill Church of England Junior School,Leicester,LE4 8DE,1162692509.0,www.churchhill-jun.leics.sch.uk,theoffice@churchhill-jun.leics.sch.uk
Barwell Church of England Academy,Leicester,LE9 8DS,1455842047.0,www.barwellceacademy.co.uk,admin@barwellacademy.org
Millfield L.E.A.D. Academy,Leicester,LE3 2WF,1162897151.0,www.millfieldacademy.co.uk,office@millfieldacademy.co.uk
