name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn
The Latimer Primary School,Community school,Open,Latimer Street,Anstey,Leicester,Leicestershire,LE7 7AW,www.latimerprimary.co.uk,1162362138.0,Mrs,Claire,Moran,Executive Headteacher,Does not apply,Mixed,Primary,01/01/1900,Mid Leicestershire,119903
Burton-on-the-Wolds Primary School,Community school,Open,Barrow Road,Burton-on-the-Wolds,Loughborough,Leicestershire,LE12 5TB,www.burton-on-the-wolds-school.org/,1509880298.0,Mrs,Claire,Wilson,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119912
Belvoirdale Community Primary School,Community school,Open,Scotlands Road,,Coalville,Leicestershire,LE67 3RD,www.belvoirdale.org,1530832595.0,Mr,Richard,Dax,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119913
Ellistown Community Primary School,Community school,Open,Whitehill Road,Ellistown,Coalville,Leicestershire,LE67 1EN,http://www.ellistown.leics.sch.uk/,1530260301.0,Mrs,Simone,Fellows,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119914
Hugglescote Community Primary School,Community school,Open,Ashburton Road,Hugglescote,Coalville,Leicestershire,LE67 2HA,www.hugglescote.leics.sch.uk,1530832721.0,Mr,Paul,Driver,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119915
Woodstone Community Primary School,Community school,Open,Heather Lane,Ravenstone,Coalville,Leicestershire,LE67 2AH,www.woodstoneprimary.co.uk,1530519473.0,Mr,Patrick,Mullins,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119916
New Swannington Primary School,Community school,Open,Church Lane,Whitwick,Coalville,Leicestershire,LE67 5DQ,www.newswanningtonprimary.org.uk/,1530832656.0,Mrs,Judy,Ramsell,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119917
Griffydam Primary School,Community school,Open,Top Road,Griffydam,Coalville,Leicestershire,LE67 8HU,http://www.griffydam.leics.sch.uk,1530222281.0,Miss,Victoria,Wills,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119918
Martinshaw Primary School,Community school,Open,Forest Rise,Groby,Leicester,Leicestershire,LE6 0BB,www.martinshaw.leics.sch.uk,1162876749.0,Mrs,Louise,Proudman,Headteacher,Does not apply,Mixed,Primary,,Mid Leicestershire,119925
Heather Primary School,Community school,Open,Main Street,Heather,Coalville,Leicestershire,LE67 2QP,https://www.heather.leics.sch.uk/,1530260257.0,Mrs,Maxine,Michalowski,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119926
Westfield Junior School,Community school,Open,Westfield Road,,Hinckley,Leicestershire,LE10 0LT,www.westfield-jun.leics.sch.uk,1455637437.0,Mr,Richard,Haltof,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119928
Westfield Infant School,Community school,Open,Ashford Road,,Hinckley,Leicestershire,LE10 0JL,http://www.westfield-inf.leics.sch.uk,1455637558.0,Mrs,Jennifer,Ruane,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119929
Barwell Infant School,Community school,Open,Townend Road,Barwell,Leicester,Leicestershire,LE9 8HG,www.barwellinfantschool.co.uk/,1455842310.0,Miss,TERENA,MORETON,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119930
Ibstock Junior School,Community school,Open,Melbourne Road,,Ibstock,Leicestershire,LE67 6NP,www.ibstockjuniorschool.co.uk,1530260481.0,Mr,Phil,Lewin,Head Teacher,Does not apply,Mixed,Primary,,North West Leicestershire,119931
Kegworth Primary School,Community school,Open,High Street,Kegworth,Derby,Leicestershire,DE74 2DA,www.kegworthprimary.org,1509672382.0,Mrs,Tracey,Robinson,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119932
Little Bowden School,Community school,Open,Scotland Road,Little Bowden,Market Harborough,Leicestershire,LE16 8AY,www.littlebowden.leics.sch.uk,1858462528.0,Mr,Brendan,Brannigan,HeadTeacher,Does not apply,Mixed,Primary,,"Harborough, Oadby and Wigston",119936
Newbold Verdon Primary School,Community school,Open,Dragon Lane,Newbold Verdon,Leicester,Leicestershire,LE9 9NG,www.newboldverdonprimaryschool.co.uk,1455822362.0,Mrs,Lucy,Collins,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119942
Stathern Primary School,Community school,Open,Water Lane,Stathern,Melton Mowbray,Leicestershire,LE14 4HX,http://www.stathern.leics.sch.uk,1949860316.0,Mrs,Karen,Lambert,Headteacher,Does not apply,Mixed,Primary,,Melton and Syston,119952
Newton Burgoland Primary School,Community school,Open,School Lane,Newton Burgoland,Coalville,Leicestershire,LE67 2SL,www.newburland.leics.sch.uk/,1530270320.0,Mrs,Sue,Ward,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119953
Worthington School,Community school,Open,Main Street,Worthington,Ashby-de-la-Zouch,Leicestershire,LE65 1RQ,www.worthington.leics.sch.uk,1530222319.0,Mrs,Natasha,Clark,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119954
Blaby Thistly Meadow Primary School,Community school,Open,Hospital Lane,Blaby,Leicester,Leicestershire,LE8 4FE,www.thistlymeadow.net/,1162775648.0,Mr,Colin,Bowpitt,Headteacher,Does not apply,Mixed,Primary,,South Leicestershire,119956
Thorpe Acre Junior School,Community school,Open,Alan Moss Road,,Loughborough,Leicestershire,LE11 4SQ,www.thorpeacrejuniorschool.co.uk,1509214974.0,Ms,Jo,Beaumont,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119957
Thorpe Acre Infant School,Community school,Open,Alan Moss Road,,Loughborough,Leicestershire,LE11 4SQ,www.tais.leics.sch.uk/,1509212021.0,Ms,Jo,Beaumont,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119958
Elizabeth Woodville Primary School,Community school,Open,Glebe Road,Groby,Leicester,Leicestershire,LE6 0GT,www.elizabethwoodvilleprimaryschool.co.uk,1162876050.0,Mr,Andrew,Pridmore,Headteacher,Does not apply,Mixed,Primary,,Mid Leicestershire,119959
Oxley Primary School Shepshed,Community school,Open,Thorpe Road,Shepshed,Loughborough,Leicestershire,LE12 9LU,https://www.oxleyprimary.org/,1509502483.0,Headteacher,Daniel,Caldwell,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119961
Burbage Junior School,Community school,Open,Grove Road,Burbage,Hinckley,Leicestershire,LE10 2AD,http://www.burbage-jun.leics.sch.uk/,1455630970.0,Mrs,Zoe,Driver,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119964
Warren Hills Community Primary School,Community school,Open,Stamford Drive,,Coalville,Leicestershire,LE67 4TA,http://www.warrenhills.leics.sch.uk,1530834030.0,Mrs,Helen,Burns,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119981
Sketchley Hill Primary School Burbage,Community school,Open,Sketchley Road,Burbage,Hinckley,Leicestershire,LE10 2DY,www.sketchleyhill.leics.sch.uk,1455238640.0,Mr,Lawrence,Lee,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119986
Thythorn Field Community Primary School,Community school,Open,Bideford Close,,Wigston,Leicestershire,LE18 2QU,www.thythornfield.co.uk,1162889040.0,Mrs,Claire,Price,Headteacher,Does not apply,Mixed,Primary,,"Harborough, Oadby and Wigston",119993
Catherine Infant School,Community school,Open,Ulverscroft Road,,Leicester,Leicestershire,LE4 6BY,www.catherine-inf.leicester.sch.uk,1162625422.0,Mr,Mitesh,Madhaw,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120002
Catherine Junior School,Community school,Open,Brandon Street,,Leicester,Leicestershire,LE4 6AZ,www.catherine-jun.leicester.sch.uk/,1162625896.0,Dr,Joanne,Badge,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120003
Evington Valley Primary School,Community school,Open,Evington Valley Road,,Leicester,Leicestershire,LE5 5LL,www.evingtonvalley.leicester.sch.uk,1162736971.0,Mr,Adrian,Manning,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120005
Granby Primary School,Community school,Open,Granby Road,,Leicester,Leicestershire,LE2 8LP,http://www.granby.leicester.sch.uk,1162298160.0,Mr,Dale,Cross,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120006
Rushey Mead Primary School,Community school,Open,Gipsy Lane,,Leicester,Leicestershire,LE4 6RB,www.rusheymead-pri.leicester.sch.uk/,1162661114.0,Mr,Nitash,Odedra,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120009
Imperial Avenue Infant School,Community school,Open,Imperial Avenue,Braunstone,Leicester,Leicestershire,LE3 1AH,www.imperialavenue.leicester.sch.uk/,1162824503.0,Miss,Elizabeth,Smith,Head Teacher,Does not apply,Mixed,Primary,,Leicester West,120014
Inglehurst Junior School,Community school,Open,Ingle Street,,Leicester,Leicestershire,LE3 9FS,www.inglehurst-jun.leicester.sch.uk,1162624598.0,Mrs,Joanna,Lowe,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120016
King Richard III Infant and Nursery School,Community school,Open,Andrewes Street,,Leicester,Leicestershire,LE3 5PA,www.kingrichards.leicester.sch.uk/,1162621905.0,Ms,Lou,Harrison,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120017
Mayflower Primary School,Community school,Open,70 Ethel Road,,Leicester,,LE5 5NA,https://www.mayflower.leicester.sch.uk/,1162737504.0,Mr,Luke,Whitney,Head teacher,Does not apply,Mixed,Primary,,Leicester South,120018
Merrydale Infant School,Community school,Open,Claydon Road,,Leicester,Leicestershire,LE5 0PL,www.merrydale-inf.leicester.sch.uk,1162767593.0,Mr,Mark,Tipple-Johnson,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120023
Shaftesbury Junior School,Community school,Open,Latimer Street,,Leicester,Leicestershire,LE3 0QE,http://www.shaftesbury.leicester.sch.uk,1162549203.0,Mr,Karl,Stewart,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120026
Wyvern Primary School,Community school,Open,Wyvern Avenue,,Leicester,Leicestershire,LE4 7HH,www.wyvern.leicester.sch.uk/,1162661408.0,Mrs,Deborah,Sedgwick,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120028
Montrose School,Community school,Open,Wigston Lane,Aylestone,Leicester,Leicestershire,LE2 8TN,www.montrose.leicester.sch.uk/,1162832328.0,Mr,Andy Owens,and Miss Suzanne Jackson,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120029
Folville Junior School,Community school,Open,Folville Rise,,Leicester,Leicestershire,LE3 1EE,www.folville.leicester.sch.uk/,1162824368.0,Headteacher,Claire,Cooke,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120034
Stokes Wood Primary School,Community school,Open,Blackett Avenue,,Leicester,Leicestershire,LE3 9BX,www.stokeswood.leicester.sch.uk,1162875305.0,Mrs,E,Christensen,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120038
Wolsey House Primary School,Community school,Open,Beaumont Leys Lane,,Leicester,Leicestershire,LE4 2BB,www.wolseyhouse.leicester.sch.uk/,1162667566.0,Mrs,Helen King,Mr Steven Powell,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120039
Sandfield Close Primary School,Community school,Open,Sandfield Close,,Leicester,Leicestershire,LE4 7RE,www.sandfieldclose.leicester.sch.uk,1162660333.0,Mrs,Smita,Lad,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120047
