name,town,postcode,phone,website,email
Burton-on-the-Wolds Primary School,Loughborough,LE12 5TB,1509880298.0,www.burton-on-the-wolds-school.org/,head@burton-on-the-wolds.leics.sch.uk
Woodstone Community Primary School,Coalville,LE67 2AH,1530519473.0,www.woodstoneprimary.co.uk,admissions@leics.gov.uk
New Swannington Primary School,Coalville,LE67 5DQ,1530832656.0,www.newswanningtonprimary.org.uk/,office@new-swann.leics.sch.uk
Griffydam Primary School,Coalville,LE67 8HU,1530222281.0,http://www.griffydam.leics.sch.uk,office@griffydam.leics.sch.uk
Barwell Infant School,Leicester,LE9 8HG,1455842310.0,www.barwellinfantschool.co.uk/,admissions@leics.gov.uk
Kegworth Primary School,Derby,DE74 2DA,1509672382.0,www.kegworthprimary.org,office@kegworthprimary.org
Newton Burgoland Primary School,Coalville,LE67 2SL,1530270320.0,www.newburland.leics.sch.uk/,admin@newburland.leics.sch.uk
Worthington School,Ashby-de-la-Zouch,LE65 1RQ,1530222319.0,www.worthington.leics.sch.uk,information@worthington.leics.sch.uk
Blaby Thistly Meadow Primary School,Leicester,LE8 4FE,1162775648.0,www.thistlymeadow.net/,office@thistlymeadow.leics.sch.uk
Thorpe Acre Junior School,Loughborough,LE11 4SQ,1509214974.0,www.thorpeacrejuniorschool.co.uk,office@taj.leics.sch.uk
Elizabeth Woodville Primary School,Leicester,LE6 0GT,1162876050.0,www.elizabethwoodvilleprimaryschool.co.uk,office@elizabethwoodvilleprimaryschool.co.uk
Burbage Junior School,Hinckley,LE10 2AD,1455630970.0,http://www.burbage-jun.leics.sch.uk/,office@burbage-jun.leics.sch.uk
Warren Hills Community Primary School,Coalville,LE67 4TA,1530834030.0,http://www.warrenhills.leics.sch.uk,office@warrenhills.leics.sch.uk
Sketchley Hill Primary School Burbage,Hinckley,LE10 2DY,1455238640.0,www.sketchleyhill.leics.sch.uk,pta@sketchleyhill.leics.sch.uk
Catherine Junior School,Leicester,LE4 6AZ,1162625896.0,www.catherine-jun.leicester.sch.uk/,c.office@catherine-jun.leicester.sch.uk
Granby Primary School,Leicester,LE2 8LP,1162298160.0,http://www.granby.leicester.sch.uk,info@granby.leicester.sch.uk
Rushey Mead Primary School,Leicester,LE4 6RB,1162661114.0,www.rusheymead-pri.leicester.sch.uk/,info@active-together.org
Shaftesbury Junior School,Leicester,LE3 0QE,1162549203.0,http://www.shaftesbury.leicester.sch.uk,office@shaftesbury.leicester.sch.uk
Wyvern Primary School,Leicester,LE4 7HH,1162661408.0,www.wyvern.leicester.sch.uk/,Info@wyvern.leicester.sch.uk
Barley Croft Primary School,Leicester,LE4 0UT,1162359008.0,www.barleycroft.leicester.sch.uk/,office@barleycroft.leicester.sch.uk
Eyres Monsell Primary School,Leicester,LE2 9AH,1162773855.0,www.eyresmonsell.leicester.sch.uk/,areilly@eyresmonsell.leicester.sch.uk
The Hall School,Leicester,LE3 8PQ,1162873582.0,www.thehallprimary.com/,
Whitehall Primary School,Leicester,LE5 6GJ,1162413087.0,www.whitehallprimary.co.uk/,office@whitehall.leicester.sch.uk
Spinney Hill Primary School,Leicester,LE5 5EZ,1162737047.0,www.spinneyhill.leicester.sch.uk/,admin@spinneyhill.leicester.sch.uk
Scraptoft Valley Primary School,Leicester,LE5 1NG,1162413444.0,www.scraptoftvalley.leicester.sch.uk,admin@scraptoftvalley.leicester.sch.uk
Newcroft Primary Academy,Loughborough,LE12 9DU,1509503214.0,www.newcroftprimaryacademy.co.uk,office@newcroft.leics.sch.uk
Ashby Willesley Primary School,Ashby-de-la-Zouch,LE65 2QG,1530413654.0,www.ashbywillesley.org.uk,Reception@willesley.leics.sch.uk
Heatherbrook Primary Academy,Leicester,LE4 1BE,1162357721.0,www.heatherbrook.co.uk/,office@heatherbrook.leicester.sch.uk
Lancaster Academy,Leicester,LE2 6FU,1162703176.0,,admin@lancaster.leicester.sch.uk
Rowlatts Mead Primary Academy,Leicester,LE5 4ES,1162768812.0,www.rowlatts-tmet.uk,
"Hallam Fields, Birstall",Leicester,LE4 3LL,1162670550.0,,DSL@hallamfields.org.uk
Hinckley Parks Primary School,Hinckley,LE10 1LP,1455632556.0,http://www.hinckleyparks.leics.sch.uk,office@hinckleyparks.leics.sch.uk
Sherard Primary School,Melton Mowbray,LE13 1HA,1664565124.0,www.sherardschool.org,info@mowbrayeducation.org
Melton Vale Sixth Form College,Melton Mowbray,LE13 1DN,1664504750.0,www.mv16.org.uk,contactus@mv16.org.uk
Forest Lodge Academy,Leicester,LE3 6LH,1162871220.0,www.forestlodge.leicester.sch.uk/,office@forestlodge.leicester.sch.uk
Judgemeadow Community College,Leicester,LE5 6HP,1162411920.0,,contactus@judgemeadow.leicester.sch.uk
All Saints Church of England Primary School,Wigston,LE18 2AH,1162880013.0,www.allsaintscofe.leics.sch.uk,allsaints@ipat.uk
Sir Jonathan North Girls' College,Leicester,LE2 6FU,1162708116.0,https://www.sirjonathannorth.org.uk,contactus@sirjonathannorth.org.uk
"Holy Cross Catholic School, a Voluntary Academy",Leicester,LE2 6TY,1162833135.0,,enquiries@ofsted.gov.uk
St Peter's Church of England Primary School Whetstone,Leicester,LE8 6NJ,1162775750.0,http://www.stpeterswhetstone.co.uk/,info@active-together.org
Manorfield Church of England Primary School,Leicester,LE9 4LU,1455272787.0,http://www.manorfield.leics.sch.uk/,office@manorfield.embracemat.org
Croft Church of England Primary School,Leicester,LE9 3GJ,1455282643.0,http://www.croftprimaryschool.co.uk,admin@croft.embracemat.org
Uplands Infant School,Leicester,LE2 0DR,1162625280.0,www.uplandsinfant.org.uk,office@uplands-inf.leicester.sch.uk
Braunstone Frith Primary Academy,Leicester,LE3 6NF,1162872487.0,www.braunstonefrith.org.uk/,office@braunstonefrith.org.uk
Kestrel Mead Primary Academy,Leicester,LE5 1TG,1162461732.0,www.kestrel-tmet.uk,office@kestrel-tmet.uk
Beauchamp City Sixth Form,Leicester,LE1 6JL,1164979330.0,https://www.beauchampcity.org.uk/,info@beauchampcity.org.uk
Millgate School,Leicester,LE2 6DW,1162704922.0,www.millgateschool.co.uk,office@millgate.discoverytrust.org
Hollycroft Primary School,HINCKLEY,LE10 3GL,1455241171.0,https://www.hollycroftschool.co.uk/,office@hollycroft.leics.sch.uk
Inglehurst Infant School,Leicester,LE3 9FS,1162622479.0,,dsl@inglehurst-inf.leicester.sch.uk
Buckminster Primary School,Grantham,NG33 5RZ,1476860315.0,,admin@buckminsterprimary.org
Buswells Lodge Primary School,Leicester,LE4 0PT,1162352129.0,,jwhatley@buswellslodge.leicester.sch.uk
Wellington Place Primary School,Market Harborough,LE16 7BY,1858451023.0,https://wellingtonplaceprimary.co.uk/,Office@dsatwellingtonplace.org
Shenton Primary School,Leicester,LE5 3FP,1162628778.0,www.shenton.leicester.sch.uk/,office@shenton.leicester.sch.uk
Normanton-On-Soar Primary School,Loughborough,LE12 5HB,1509842326.0,,office@nosps.co.uk
Beaumont Lodge Primary School,Leicester,LE4 1DT,1162366925.0,www.beaumontlodgeprimary.co.uk,office@beaumontlodge.leicester.sch.uk
Parks Primary School,Leicester,LE3 9NS,1162872414.0,www.parksprimary.org/,office@parks.leicester.sch.uk
Slater Primary School,Leicester,LE3 5AS,1162624587.0,www.slater.leicester.sch.uk,office@slater.leicester.sch.uk
Billesdon Church of England Primary School,Leicester,LE7 9AG,1162596327.0,www.billesdon.leics.sch.uk,Officestaff@billesdon.leics.sch.uk
Burbage Church of England Infant School,Hinckley,LE10 2AE,1455239391.0,www.burbageinfants.org/,office@burbageinfants.org
"All Saints Church of England Primary School, Coalville",Coalville,LE67 3LB,1530832608.0,,Office@allsaints-coalville.leics.sch.uk
Great Glen St Cuthbert's Church of England Primary School,Leicester,LE8 9EQ,1162592764.0,www.stcuthberts.leics.sch.uk,office@stcuthberts.leics.sch.uk
Harby Church of England Primary School,Melton Mowbray,LE14 4BZ,1949860553.0,www.harbyprimary.org,office.school@harby.leics.sch.uk
"St Mary's Church of England Primary School, Hinckley",Hinckley,LE10 1AW,1455637477.0,www.stmarys.leics.sch.uk/,office@stmarys.leics.sch.uk
St Bartholomew's Church of England Primary School,Loughborough,LE12 8HQ,1509412250.0,www.st-bartholomews.leics.sch.uk,office@st-bartholomews.leics.sch.uk
Wymeswold Church of England Primary School,Loughborough,LE12 6TU,1509880561.0,http://www.wymeswold.leics.sch.uk,admin@wymeswold.leics.sch.uk
Kilby St Mary's Church of England Primary School,Wigston,LE18 3TD,1162402434.0,www.kilby.leics.sch.uk,office@kilby.leics.sch
Nether Hall School,Leicester,LE5 1RT,1162417258.0,https://www.netherhall.leicester.sch.uk/,office@netherhall.leicester.sch.uk
Madani Girls' School,Leicester,LE5 5LL,1162498080.0,https://madani.school,office@madanihigh.leicester.sch.uk
Oaklands School,Leicester,LE5 6GJ,1162415921.0,,office@oaklands.leicester.sch.uk
West Gate School,Leicester,LE3 6DG,1162552187.0,www.westgate.leicester.sch.uk,careers@westgate.leicester.sch.uk
Glebelands Primary School,Leicester,LE4 2WF,1162340010.0,www.glebelands.leicester.sch.uk/,office@glebelands.leicester.sch.uk
New College Leicester,Leicester,LE3 6DN,1162318500.0,www.newcollege.leicester.sch.uk,enquiries@newcollege.leicester.sch.uk
Caldecote Community Primary School,Leicester,LE3 1FF,1162824482.0,www.caldecote.leicester.sch.uk/,office@caldecote.leicester.sch.uk
Greenfield Primary School,Leicester,LE8 5SG,1162773584.0,http://greenfieldprimary.net/,preschool@greenfield.leics.sch.uk
Elmbrook School,Leicester,LE5 1DT,1162081470.0,www.pru.leicester.sch.uk,office@elmbrook.leicester.sch.uk
Rolleston Primary School,Leicester,LE2 9PT,1162782300.0,www.rolleston.leicester.sch.uk,office@rolleston.leicester.sch.uk
Oakfield School,Shepshed,LE12 9DB,1162759150.0,www.oakfield.leics.sch.uk/,Georgina.Cole@leics.gov.uk
Limehurst Academy,Loughborough,LE11 1NH,1509263444.0,http://www.limehurst.org.uk,Office@limehurst.org.uk
Kibworth Mead Academy,Leicester,LE8 0LG,1162792238.0,www.kibworth-tmet.uk,info@kibworth-tmet.uk
John Ferneley College,Melton Mowbray,LE13 1LH,1664565901.0,http://www.johnferneley.org,info@mowbrayeducation.org
Humphrey Perkins School,Loughborough,LE12 8JU,1509412385.0,www.humphreyperkins.org.uk,office@humphreyperkins.org.uk
The Martin High School Anstey,Leicester,LE7 7EB,1162363291.0,www.martinhigh.org.uk,office@martinhigh.org.uk
Glen Hills Primary School,Leicester,LE2 9NY,1162782535.0,www.glen-hills.leics.sch.uk/,office@glen-hills.leics.sch.uk
Fairfield Community Primary School,Wigston,LE18 4WA,1162782424.0,http://www.fairfieldcpschool.co.uk,office@fairfd.leics.sch.uk
Dorothy Goodman School Hinckley,Hinckley,LE10 0EA,1455634582.0,www.dorothygoodman.co.uk,sais@nhs.net
St Thomas More Catholic Voluntary Academy,Leicester,LE2 3TA,1162706365.0,www.thomasmoreprimary.org.uk/,office@st-thomasmore.leicester.sch.uk
Sacred Heart Catholic Voluntary Academy,Loughborough,LE11 2BG,1509212204.0,http://sacredheartacademy.org.uk,office@sacredheart.leicester.sch.uk
The Newbridge School,Coalville,LE67 3SJ,1530831561.0,http://www.newbridge.org.uk,info@newbridge.org.uk
Heath Lane Academy,Leicester,LE9 7PD,1455845061.0,https://www.heathlaneacademy.org.uk,enquiries@heathlaneacademy.org.uk
Farndon Fields Primary School,Market Harborough,LE16 9JH,1858464744.0,www.farndonfields.org,info@discoveryschoolstrust.org.uk
Kibworth Church of England Primary School,Leicester,LE8 0NH,1162792485.0,www.kibprimary.leics.sch.uk,office@dsatkibworth.org
The Castle Rock School,Coalville,LE67 4BR,1530834368.0,https://www.castlerock.org.uk/,info@castlerock.org.uk
Queensmead Primary Academy,Leicester,LE3 1PF,1162858518.0,http://www.queensmeadacademy.org,admin@queensmeadacademy.org
Long Field Spencer Academy,Melton Mowbray,LE13 0BN,1664561234.0,http://www.longfieldtrust.org.uk,help@longfieldspencer.org.uk
Ashby Hill Top Primary School,Ashby-de-la-Zouch,LE65 2NF,1530415736.0,www.ashbyhilltop.leics.sch.uk,office@ashbyhilltop.leics.sch.uk
Gaddesby Primary School,Leicester,LE7 4WF,1664840253.0,http://www.gaddesby.bepschools.org/,
Lady Jane Grey Primary School,Leicester,LE6 0ZA,1162320031.0,www.ladyjanegreyprimary.org.uk/,info@active-together.org
Madani Boys School,Leicester,LE5 5LL,1162498080.0,https://madani.school,SENCO@madani.leicester.sch.uk
Broom Leys School,Coalville,LE67 4DB,1530832234.0,http://www.broomleys.org.uk,Info@broomleys.org.uk
Holywell Primary School,Loughborough,LE11 3SJ,1509231347.0,http://www.holywell.leics.sch.uk/,rachel.shanks@holywell.leics.sch.uk
Thrussington Church of England Primary School,Leicester,LE7 4TH,1664424421.0,http://www.thrussington.leics.sch.uk/,office@thrussington.leics.sch.uk
Church Hill Church of England Junior School,Leicester,LE4 8DE,1162692509.0,www.churchhill-jun.leics.sch.uk,theoffice@churchhill-jun.leics.sch.uk
Barwell Church of England Academy,Leicester,LE9 8DS,1455842047.0,www.barwellceacademy.co.uk,admin@barwellacademy.org
Millfield L.E.A.D. Academy,Leicester,LE3 2WF,1162897151.0,www.millfieldacademy.co.uk,office@millfieldacademy.co.uk
Beacon Academy,Loughborough,LE11 2NF,1509212227.0,www.thebeaconacademy.org,contactus@liftbeacon.org
Outwoods Edge Primary School,Loughborough,LE11 2LD,1509216177.0,http://www.outwoodsedge.leics.sch.uk,chair@oedge.net
Asfordby Hill Primary School,Melton Mowbray,LE14 3QX,1664812244.0,www.asfordbyhill.leics.sch.uk,admin@asfordbyhill.leics.sch.uk
Great Dalby School,Melton Mowbray,LE14 2HA,1664562750.0,http://www.greatdalbyprimaryschool.co.uk,
The Pastures Primary School,Leicester,LE19 3YP,1162867738.0,www.pastures-primary.leics.sch.uk,office@pasturesprimary.com
Beauchamp College,Leicester,LE2 5TP,1162729100.0,http://www.beauchamp.org.uk,info@beauchamp.org.uk
Battling Brook Primary School,Hinckley,LE10 0EX,1455634701.0,http://www.bbrook.leics.sch.uk/,office@battlingbrook.uk
Brocks Hill Primary School,Leicester,LE2 5WP,1162714885.0,https://www.brockshill.org.uk,office@brockshill.org.uk
Launde Primary School,Leicestershire,LE2 4LJ,1162712261.0,www.launde.leics.sch.uk/,office@launde.leics.sch.uk
Wilbarston Church of England Primary School,Market Harborough,LE16 8QN,1536771252.0,www.wilbarston.northants.sch.uk/,
Hastings High School,Hinckley,LE10 2QE,1455239414.0,http://www.hastings.leics.sch.uk,hastings@hastings.leics.sch.uk
Glenfield Primary School,Leicester,LE3 8DL,,www.glenfield.leics.sch.uk/,office@glenfield.leics.sch.uk
Ab Kettleby Primary School,Melton Mowbray,LE14 3JJ,1664504870.0,www.abkettleby.org,admin@abkettleby.org
Highcliffe Primary School and Community Centre,Leicester,LE4 3DL,1162967600.0,www.highcliffeacademy.org.uk,office@highcliffeacademy.org.uk
Riverside Community Primary School Birstall,Leicester,LE4 4JU,1162107373.0,http://www.riversideacademy.org.uk,admissions@leics.gov.uk
Somerby Primary School,Melton Mowbray,LE14 2PZ,1664504888.0,www.somerby.org.uk,admin@somerby.org.uk
The Cedars Academy,Leicester,LE4 4GH,1162677107.0,www.TheCedarsAcademy.org.uk,schoolenquiries@thecedarsacademy.org.uk
North Mead Primary Academy,Leicester,LE4 9DL,1162767761.0,www.north-tmet.uk,mtaylor@north-tmet.uk
The Grove Primary School,Melton Mowbray,LE13 0HN,1664562554.0,www.meltongrove.org,admin@meltongrove.org
Townlands Church of England Primary School,Leicester,LE9 7FF,1455843859.0,www.townlandsprimary.org/,office@townlands.leics.sch.uk
Rushey Mead Academy,Leicester,LE4 7AN,1162663730.0,www.rushey-tmet.uk,info@rushey-tmet.uk
Little Hill Primary,Wigston,LE18 2GZ,1162811963.0,http://www.littlehill.leics.sch.uk/,office@littlehill-owlsmat.uk
Humberstone Infant Academy,Leicester,LE5 1AE,1162767648.0,,send@humberstoneacademy.co.uk
Uplands Junior L.E.A.D. Academy,Leicester,LE2 0DR,1162538407.0,,office@uplandsacademy.co.uk
Fernvale Primary School,Leicester,LE7 9PR,1162416722.0,www.fernvale.leics.sch.uk,office@fernvale.leics.sch.uk
