name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,all_emails,staff_contacts,has_pupil_premium,has_financial_reports
The Latimer Primary School,Community school,Found,Latimer Street,Anstey,Leicester,Leicestershire,LE7 7AW,www.latimerprimary.co.uk,1162362138.0,Mrs,Claire,Moran,Executive Headteacher,Does not apply,Mixed,Primary,01/01/1900,Mid Leicestershire,119903,office@latimer.leics.sch.uk,"office@latimer.leics.sch.uk, office@latimer.leics.sch.uk",office@latimer.leics.sch.uk,True,False
Burton-on-the-Wolds Primary School,Community school,Not found,Barrow Road,Burton-on-the-Wolds,Loughborough,Leicestershire,LE12 5TB,www.burton-on-the-wolds-school.org/,1509880298.0,Mrs,Claire,Wilson,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119912,,,,False,False
Belvoirdale Community Primary School,Community school,Found,Scotlands Road,,Coalville,Leicestershire,LE67 3RD,www.belvoirdale.org,1530832595.0,Mr,Richard,Dax,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119913,enquiries@belvoirdale.leics.sch.uk,"enquiries@belvoirdale.leics.sch.uk, enquiries@belvoirdale.leics.sch.uk",,False,False
Ellistown Community Primary School,Community school,Found,Whitehill Road,Ellistown,Coalville,Leicestershire,LE67 1EN,http://www.ellistown.leics.sch.uk/,1530260301.0,Mrs,Simone,Fellows,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119914,admin@ellistown.leics.sch.uk,"admin@ellistown.leics.sch.uk, admin@ellistown.leics.sch.uk",Email: admin@ellistown.leics.sch.uk,True,True
Hugglescote Community Primary School,Community school,Found,Ashburton Road,Hugglescote,Coalville,Leicestershire,LE67 2HA,www.hugglescote.leics.sch.uk,1530832721.0,Mr,Paul,Driver,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119915,hugglescote@hugglescote.leics.sch.uk,"hugglescote@hugglescote.leics.sch.uk, hugglescote@hugglescote.leics.sch.uk",,True,False
Woodstone Community Primary School,Community school,Not found,Heather Lane,Ravenstone,Coalville,Leicestershire,LE67 2AH,www.woodstoneprimary.co.uk,1530519473.0,Mr,Patrick,Mullins,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119916,,,,False,False
New Swannington Primary School,Community school,Not found,Church Lane,Whitwick,Coalville,Leicestershire,LE67 5DQ,www.newswanningtonprimary.org.uk/,1530832656.0,Mrs,Judy,Ramsell,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119917,,,,False,False
Griffydam Primary School,Community school,Not found,Top Road,Griffydam,Coalville,Leicestershire,LE67 8HU,http://www.griffydam.leics.sch.uk,1530222281.0,Miss,Victoria,Wills,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119918,,,,True,False
Martinshaw Primary School,Community school,Found,Forest Rise,Groby,Leicester,Leicestershire,LE6 0BB,www.martinshaw.leics.sch.uk,1162876749.0,Mrs,Louise,Proudman,Headteacher,Does not apply,Mixed,Primary,,Mid Leicestershire,119925,manager@martinshaw.leics.sch.uk,"manager@martinshaw.leics.sch.uk, manager@martinshaw.leics.sch.uk",,True,False
Heather Primary School,Community school,Found,Main Street,Heather,Coalville,Leicestershire,LE67 2QP,https://www.heather.leics.sch.uk/,1530260257.0,Mrs,Maxine,Michalowski,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119926,adminoffice@heather.leics.sch.uk,"adminoffice@heather.leics.sch.uk, adminoffice@heather.leics.sch.uk, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",,True,False
Westfield Junior School,Community school,Found,Westfield Road,,Hinckley,Leicestershire,LE10 0LT,www.westfield-jun.leics.sch.uk,1455637437.0,Mr,Richard,Haltof,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119928,admin@westfield-jun.leics.sch.uk,"admin@westfield-jun.leics.sch.uk, admin@westfield-jun.leics.sch.uk","admin@westfield-jun.leics.sch.uk | Westfield Road, Hinckley, Leicestershire LE10 0LT							 01455 637437							 admin@westfield-jun.lei",True,False
Westfield Infant School,Community school,Found,Ashford Road,,Hinckley,Leicestershire,LE10 0JL,http://www.westfield-inf.leics.sch.uk,1455637558.0,Mrs,Jennifer,Ruane,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119929,admin@westfield-inf.leics.sch.uk,"admin@westfield-inf.leics.sch.uk, admin@westfield-inf.leics.sch.uk",,False,False
Barwell Infant School,Community school,Not found,Townend Road,Barwell,Leicester,Leicestershire,LE9 8HG,www.barwellinfantschool.co.uk/,1455842310.0,Miss,TERENA,MORETON,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119930,,,,True,True
Ibstock Junior School,Community school,Found,Melbourne Road,,Ibstock,Leicestershire,LE67 6NP,www.ibstockjuniorschool.co.uk,1530260481.0,Mr,Phil,Lewin,Head Teacher,Does not apply,Mixed,Primary,,North West Leicestershire,119931,c.mccarty@ibstock.leics.sch.uk,"c.mccarty@ibstock.leics.sch.uk, example@gmail.com, office@ibstock.leics.sch.uk",office@ibstock.leics.sch.uk,True,False
Kegworth Primary School,Community school,Not found,High Street,Kegworth,Derby,Leicestershire,DE74 2DA,www.kegworthprimary.org,1509672382.0,Mrs,Tracey,Robinson,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119932,,,,True,True
Little Bowden School,Community school,Found,Scotland Road,Little Bowden,Market Harborough,Leicestershire,LE16 8AY,www.littlebowden.leics.sch.uk,1858462528.0,Mr,Brendan,Brannigan,HeadTeacher,Does not apply,Mixed,Primary,,"Harborough, Oadby and Wigston",119936,office@littlebowden.leics.sch.uk,"office@littlebowden.leics.sch.uk, office@littlebowden.leics.sch.uk, office@littlebowden.leics.sch.uk",E|office@littlebowden.leics.sch.uk,True,False
Newbold Verdon Primary School,Community school,Found,Dragon Lane,Newbold Verdon,Leicester,Leicestershire,LE9 9NG,www.newboldverdonprimaryschool.co.uk,1455822362.0,Mrs,Lucy,Collins,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119942,office@newboldverdon.leics.sch.uk,"office@newboldverdon.leics.sch.uk, office@newboldverdon.leics.sch.uk",,False,False
Stathern Primary School,Community school,Found,Water Lane,Stathern,Melton Mowbray,Leicestershire,LE14 4HX,http://www.stathern.leics.sch.uk,1949860316.0,Mrs,Karen,Lambert,Headteacher,Does not apply,Mixed,Primary,,Melton and Syston,119952,theoffice@stathern.leics.sch.uk,"theoffice@stathern.leics.sch.uk, theoffice@stathern.leics.sch.uk",theoffice@stathern.leics.sch.uk,True,False
Newton Burgoland Primary School,Community school,Not found,School Lane,Newton Burgoland,Coalville,Leicestershire,LE67 2SL,www.newburland.leics.sch.uk/,1530270320.0,Mrs,Sue,Ward,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119953,,,,False,False
Worthington School,Community school,Not found,Main Street,Worthington,Ashby-de-la-Zouch,Leicestershire,LE65 1RQ,www.worthington.leics.sch.uk,1530222319.0,Mrs,Natasha,Clark,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119954,,,,True,False
Blaby Thistly Meadow Primary School,Community school,Not found,Hospital Lane,Blaby,Leicester,Leicestershire,LE8 4FE,www.thistlymeadow.net/,1162775648.0,Mr,Colin,Bowpitt,Headteacher,Does not apply,Mixed,Primary,,South Leicestershire,119956,,,,True,False
Thorpe Acre Junior School,Community school,Not found,Alan Moss Road,,Loughborough,Leicestershire,LE11 4SQ,www.thorpeacrejuniorschool.co.uk,1509214974.0,Ms,Jo,Beaumont,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119957,,,,True,True
Thorpe Acre Infant School,Community school,Found,Alan Moss Road,,Loughborough,Leicestershire,LE11 4SQ,www.tais.leics.sch.uk/,1509212021.0,Ms,Jo,Beaumont,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119958,office@tais.leics.sch.uk,"office@tais.leics.sch.uk, office@tais.leics.sch.uk",,False,False
Elizabeth Woodville Primary School,Community school,Not found,Glebe Road,Groby,Leicester,Leicestershire,LE6 0GT,www.elizabethwoodvilleprimaryschool.co.uk,1162876050.0,Mr,Andrew,Pridmore,Headteacher,Does not apply,Mixed,Primary,,Mid Leicestershire,119959,,,,False,False
Oxley Primary School Shepshed,Community school,Found,Thorpe Road,Shepshed,Loughborough,Leicestershire,LE12 9LU,https://www.oxleyprimary.org/,1509502483.0,Headteacher,Daniel,Caldwell,Headteacher,Does not apply,Mixed,Primary,,Loughborough,119961,office@oxleyprimary.org,"office@oxleyprimary.org, office@oxleyprimary.org",office@oxleyprimary.org,True,False
Burbage Junior School,Community school,Not found,Grove Road,Burbage,Hinckley,Leicestershire,LE10 2AD,http://www.burbage-jun.leics.sch.uk/,1455630970.0,Mrs,Zoe,Driver,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119964,,,,True,False
Warren Hills Community Primary School,Community school,Found,Stamford Drive,,Coalville,Leicestershire,LE67 4TA,http://www.warrenhills.leics.sch.uk,1530834030.0,Mrs,Helen,Burns,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,119981,example@gmail.com,"example@gmail.com, office@warrenhills.leics.sch.uk, office@warrenhills.leics.sch.uk",office@warrenhills.leics.sch.uk,True,False
Sketchley Hill Primary School Burbage,Community school,Not found,Sketchley Road,Burbage,Hinckley,Leicestershire,LE10 2DY,www.sketchleyhill.leics.sch.uk,1455238640.0,Mr,Lawrence,Lee,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119986,,,@media screen and (min-width: 767px) {.wsite-elements.wsite-not-footer:not(.wsite-header-elements) d,True,True
Thythorn Field Community Primary School,Community school,Found,Bideford Close,,Wigston,Leicestershire,LE18 2QU,www.thythornfield.co.uk,1162889040.0,Mrs,Claire,Price,Headteacher,Does not apply,Mixed,Primary,,"Harborough, Oadby and Wigston",119993,office@thythornfield.leics.sch.uk,"office@thythornfield.leics.sch.uk, office@thythornfield.leics.sch.uk",AddressBideford Close Wigston Leicestershire LE18 2QUEmailoffice@thythornfield.leics.sch.ukPhone0116,True,False
Catherine Infant School,Community school,Found,Ulverscroft Road,,Leicester,Leicestershire,LE4 6BY,www.catherine-inf.leicester.sch.uk,1162625422.0,Mr,Mitesh,Madhaw,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120002,admin@catherine-inf.leicester.sch.uk,"admin@catherine-inf.leicester.sch.uk, admin@catherine-inf.leicester.sch.uk, safeguarding@catherine-inf.leicester.sch.uk",admin@catherine-inf.leicester.sch.uk,True,False
