name,town,postcode,phone,website,email
Burton-on-the-Wolds Primary School,Loughborough,LE12 5TB,1509880298.0,www.burton-on-the-wolds-school.org/,
Woodstone Community Primary School,Coalville,LE67 2AH,1530519473.0,www.woodstoneprimary.co.uk,
New Swannington Primary School,Coalville,LE67 5DQ,1530832656.0,www.newswanningtonprimary.org.uk/,
Griffydam Primary School,Coalville,LE67 8HU,1530222281.0,http://www.griffydam.leics.sch.uk,
Barwell Infant School,Leicester,LE9 8HG,1455842310.0,www.barwellinfantschool.co.uk/,
Kegworth Primary School,Derby,DE74 2DA,1509672382.0,www.kegworthprimary.org,
Newton Burgoland Primary School,Coalville,LE67 2SL,1530270320.0,www.newburland.leics.sch.uk/,
Worthington School,Ashby-de-la-Zouch,LE65 1RQ,1530222319.0,www.worthington.leics.sch.uk,
Blaby Thistly Meadow Primary School,Leicester,LE8 4FE,1162775648.0,www.thistlymeadow.net/,
Thorpe Acre Junior School,Loughborough,LE11 4SQ,1509214974.0,www.thorpeacrejuniorschool.co.uk,
Elizabeth Woodville Primary School,Leicester,LE6 0GT,1162876050.0,www.elizabethwoodvilleprimaryschool.co.uk,
Burbage Junior School,Hinckley,LE10 2AD,1455630970.0,http://www.burbage-jun.leics.sch.uk/,
Warren Hills Community Primary School,Coalville,LE67 4TA,1530834030.0,http://www.warrenhills.leics.sch.uk,example@gmail.com
Sketchley Hill Primary School Burbage,Hinckley,LE10 2DY,1455238640.0,www.sketchleyhill.leics.sch.uk,
Catherine Junior School,Leicester,LE4 6AZ,1162625896.0,www.catherine-jun.leicester.sch.uk/,example@gmail.com
Granby Primary School,Leicester,LE2 8LP,1162298160.0,http://www.granby.leicester.sch.uk,
Rushey Mead Primary School,Leicester,LE4 6RB,1162661114.0,www.rusheymead-pri.leicester.sch.uk/,
Shaftesbury Junior School,Leicester,LE3 0QE,1162549203.0,http://www.shaftesbury.leicester.sch.uk,
Wyvern Primary School,Leicester,LE4 7HH,1162661408.0,www.wyvern.leicester.sch.uk/,
Barley Croft Primary School,Leicester,LE4 0UT,1162359008.0,www.barleycroft.leicester.sch.uk/,
Eyres Monsell Primary School,Leicester,LE2 9AH,1162773855.0,www.eyresmonsell.leicester.sch.uk/,
The Hall School,Leicester,LE3 8PQ,1162873582.0,www.thehallprimary.com/,
Whitehall Primary School,Leicester,LE5 6GJ,1162413087.0,www.whitehallprimary.co.uk/,
Spinney Hill Primary School,Leicester,LE5 5EZ,1162737047.0,www.spinneyhill.leicester.sch.uk/,
Scraptoft Valley Primary School,Leicester,LE5 1NG,1162413444.0,www.scraptoftvalley.leicester.sch.uk,
Beaumont Lodge Primary School,Leicester,LE4 1DT,1162366925.0,www.beaumontlodgeprimary.co.uk,
Parks Primary School,Leicester,LE3 9NS,1162872414.0,www.parksprimary.org/,
Slater Primary School,Leicester,LE3 5AS,1162624587.0,www.slater.leicester.sch.uk,
Billesdon Church of England Primary School,Leicester,LE7 9AG,1162596327.0,www.billesdon.leics.sch.uk,example@gmail.com
Burbage Church of England Infant School,Hinckley,LE10 2AE,1455239391.0,www.burbageinfants.org/,
"All Saints Church of England Primary School, Coalville",Coalville,LE67 3LB,1530832608.0,,
Great Glen St Cuthbert's Church of England Primary School,Leicester,LE8 9EQ,1162592764.0,www.stcuthberts.leics.sch.uk,
Harby Church of England Primary School,Melton Mowbray,LE14 4BZ,1949860553.0,www.harbyprimary.org,
"St Mary's Church of England Primary School, Hinckley",Hinckley,LE10 1AW,1455637477.0,www.stmarys.leics.sch.uk/,
St Bartholomew's Church of England Primary School,Loughborough,LE12 8HQ,1509412250.0,www.st-bartholomews.leics.sch.uk,
Wymeswold Church of England Primary School,Loughborough,LE12 6TU,1509880561.0,http://www.wymeswold.leics.sch.uk,
Kilby St Mary's Church of England Primary School,Wigston,LE18 3TD,1162402434.0,www.kilby.leics.sch.uk,
Nether Hall School,Leicester,LE5 1RT,1162417258.0,https://www.netherhall.leicester.sch.uk/,
Madani Girls' School,Leicester,LE5 5LL,1162498080.0,https://madani.school,
Oaklands School,Leicester,LE5 6GJ,1162415921.0,,
West Gate School,Leicester,LE3 6DG,1162552187.0,www.westgate.leicester.sch.uk,
Glebelands Primary School,Leicester,LE4 2WF,1162340010.0,www.glebelands.leicester.sch.uk/,
New College Leicester,Leicester,LE3 6DN,1162318500.0,www.newcollege.leicester.sch.uk,
Caldecote Community Primary School,Leicester,LE3 1FF,1162824482.0,www.caldecote.leicester.sch.uk/,
Greenfield Primary School,Leicester,LE8 5SG,1162773584.0,http://greenfieldprimary.net/,
Elmbrook School,Leicester,LE5 1DT,1162081470.0,www.pru.leicester.sch.uk,
Rolleston Primary School,Leicester,LE2 9PT,1162782300.0,www.rolleston.leicester.sch.uk,
Oakfield School,Shepshed,LE12 9DB,1162759150.0,www.oakfield.leics.sch.uk/,
Limehurst Academy,Loughborough,LE11 1NH,1509263444.0,http://www.limehurst.org.uk,
Kibworth Mead Academy,Leicester,LE8 0LG,1162792238.0,www.kibworth-tmet.uk,
John Ferneley College,Melton Mowbray,LE13 1LH,1664565901.0,http://www.johnferneley.org,
Humphrey Perkins School,Loughborough,LE12 8JU,1509412385.0,www.humphreyperkins.org.uk,
The Martin High School Anstey,Leicester,LE7 7EB,1162363291.0,www.martinhigh.org.uk,
Glen Hills Primary School,Leicester,LE2 9NY,1162782535.0,www.glen-hills.leics.sch.uk/,
Fairfield Community Primary School,Wigston,LE18 4WA,1162782424.0,http://www.fairfieldcpschool.co.uk,
Dorothy Goodman School Hinckley,Hinckley,LE10 0EA,1455634582.0,www.dorothygoodman.co.uk,
St Thomas More Catholic Voluntary Academy,Leicester,LE2 3TA,1162706365.0,www.thomasmoreprimary.org.uk/,
Sacred Heart Catholic Voluntary Academy,Loughborough,LE11 2BG,1509212204.0,http://sacredheartacademy.org.uk,
The Newbridge School,Coalville,LE67 3SJ,1530831561.0,http://www.newbridge.org.uk,
Heath Lane Academy,Leicester,LE9 7PD,1455845061.0,https://www.heathlaneacademy.org.uk,
Farndon Fields Primary School,Market Harborough,LE16 9JH,1858464744.0,www.farndonfields.org,
Kibworth Church of England Primary School,Leicester,LE8 0NH,1162792485.0,www.kibprimary.leics.sch.uk,
The Castle Rock School,Coalville,LE67 4BR,1530834368.0,https://www.castlerock.org.uk/,
Queensmead Primary Academy,Leicester,LE3 1PF,1162858518.0,http://www.queensmeadacademy.org,
Long Field Spencer Academy,Melton Mowbray,LE13 0BN,1664561234.0,http://www.longfieldtrust.org.uk,
Ashby Hill Top Primary School,Ashby-de-la-Zouch,LE65 2NF,1530415736.0,www.ashbyhilltop.leics.sch.uk,
