name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email
The Aldgate School,Voluntary aided school,Open,St James's Passage,Duke's Place,London,,EC3A 5DE,www.thealdgateschool.org,2072831147.0,Miss,Alexandra,Allan,Headteacher,Church of England,Mixed,Primary,,Cities of London and Westminster,100000,office@thealdgateschool.org
Thomas Coram Centre,Local authority nursery school,Open,49 Mecklenburgh Square,,London,,WC1N 2NY,http://www.thomascoram.camden.sch.uk/,2075200385.0,Ms,Perina,Holness,Head Teacher,Does not apply,Mixed,Nursery,,Holborn and St Pancras,100005,admin@thomascoram.camden.sch.uk
Heath School,Pupil referral unit,Open,Agincourt Road,,London,,NW3 2NY,http://heath.h3federation.org.uk/,2079748906.0,Mr,Alex,Wilson,Headteacher,Does not apply,Mixed,Not applicable,01/09/1999,Hampstead and Highgate,100006,office@h3federation.org.uk
Camden Primary Pupil Referral Unit,Pupil referral unit,Open,"Robson House, Netley Campus",74 Stanhope Street,London,,NW1 3EX,http://www.robsonhouse.org.uk/main/,2037720370.0,Mr,John,Hayes,Executive Head,Does not apply,Mixed,Not applicable,,Holborn and St Pancras,100007,admin@camden-plss.camden.sch.uk
Argyle Primary School,Community school,Open,Tonbridge Street,,London,,WC1H 9EG,http://www.argyle.camden.sch.uk/,2078374590.0,Ms,Jemima,Wade,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100008,admin@argyle.camden.sch.uk
West Hampstead Primary School,Community school,Open,Dornfell Street,West Hampstead,London,,NW6 1QL,http://www.westhampstead.camden.sch.uk/,2074358646.0,Mr,Samuel,Drake,Headteacher,Does not apply,Mixed,Primary,,Hampstead and Highgate,100009,admin@westhampstead.camden.sch.uk
Brecknock Primary School,Community school,Open,Cliff Villas,Camden,London,,NW1 9AL,http://www.brecknock.camden.sch.uk/,2074856334.0,Ms,Helen,Bruckdorfer,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100010,admin@brecknock.camden.sch.uk
Brookfield Primary School,Community school,Open,Chester Road,,London,,N19 5DH,http://www.brookfield.camden.sch.uk/,2072729627.0,Mr,Simon,Shiel,Headteacher,Does not apply,Mixed,Primary,,Hampstead and Highgate,100011,BrookfieldSchoolPTA@gmail.com
Edith Neville Primary School,Community school,Open,85 Polygon Road,,London,,NW1 1HQ,http://www.edithneville.camden.sch.uk/,2073877158.0,,Ruby,Nasser,Acting Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100013,admin@edithneville.camden.sch.uk
Fleet Primary School,Community school,Open,Fleet Road,,London,,NW3 2QT,http://www.fleet.camden.sch.uk/,2074852028.0,,Donald,McGibbon,Headteacher,Does not apply,Mixed,Primary,,Hampstead and Highgate,100014,admin@fleet.camden.sch.uk
