name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
All Saints CE Academy,Denstone,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE First School,Church Leigh,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE First School,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE First School,Standon,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE Primary School,Alrewas,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE Primary School,Bednall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE Primary School,Rangemore,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE Primary School,Ranton,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
All Saints CE Primary School,Trysull,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Alsagers Bank Primary Academy,Alsagers Bank,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Amington Heath Primary School,Amington,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Anglesey Primary Academy,Burton upon Trent,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Anker Valley Primary Academy,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ankermoor Primary Academy,Bolehall,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Anna Seward Primary,Lichfield,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Anson CE Primary School,Great Haywood,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Ashcroft Infants' School,Tamworth,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Baldwin's Gate CE Primary School,Baldwin's Gate,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Barlaston CE First School,Barlaston,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Barnfields Primary School,Stafford,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Beresford Memorial CE First School,Leek,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Berkswich CE Primary School,Walton-on-the-Hill,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Betley CE Primary School,Betley,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
Bhylls Acre Primary School,Penn,Primary,Staffordshire,,,,,,,,,,,,,False,False,,False,
