name,website,type,region,emails,email_count
University of Aberdeen,https://www.abdn.ac.uk,University,Scotland,infohub@abdn.ac.uk,1
University of Abertay Dundee,https://www.abertay.ac.uk,University,Scotland,procurement@abertay.ac.uk,1
Aberystwyth University,https://www.aber.ac.uk,University,Wales,procurement@aber.ac.uk,1
University of Bath,https://www.bath.ac.uk,University,England,procurement@bath.ac.uk,1
University of Birmingham,https://www.birmingham.ac.uk,University,England,finance@bham.ac.uk,1
University of Bolton,https://www.bolton.ac.uk,University,England,enquiries@bolton.ac.uk; enquiries@greatermanchester.ac.uk; procurement@bolton.ac.uk,3
University of Bradford,https://www.bradford.ac.uk,University,England,enquiries@bradford.ac.uk,1
University of Brighton,https://www.brighton.ac.uk,University,England,procurement@brighton.ac.uk,1
University of Bristol,https://www.bristol.ac.uk,University,England,procurement@bristol.ac.uk,1
Brunel University London,https://www.brunel.ac.uk,University,England,press-office@brunel.ac.uk; hayley.jarvis@brunel.ac.uk; procurement@brunel.ac.uk,3
University of Buckingham,https://www.buckingham.ac.uk,University,England,info@buckingham.ac.uk; procurement@buckingham.ac.uk,2
University of Cambridge,https://www.cam.ac.uk,University,England,procurement@cam.ac.uk,1
Canterbury Christ Church University,https://www.canterbury.ac.uk,University,England,courses@canterbury.ac.uk; closingourgap@canterbury.ac.uk; mary.makinde@canterbury.ac.uk; cccq.equality@canterbury.ac.uk; geoff.marsh@canterbury.ac.uk; procurement@canterbury.ac.uk,6
Cardiff University,https://www.cardiff.ac.uk,University,Wales,suppliers@cardiff.ac.uk,1
University of Central Lancashire,https://www.uclan.ac.uk,University,England,procurement@uclan.ac.uk,1
University of Chester,https://www.chester.ac.uk,University,England,procurement@chester.ac.uk,1
University of Chichester,https://www.chi.ac.uk,University,England,help@chi.ac.uk; visitus@chi.ac.uk; studyhere@chi.ac.uk; procurement@chi.ac.uk,4
City, University of London,https://www.city.ac.uk,University,,0
University of Coventry,https://www.coventry.ac.uk,University,England,,0
University of Cranfield,https://www.cranfield.ac.uk,University,England,procurement@cranfield.ac.uk,1
University of Cumbria,https://www.cumbria.ac.uk,University,England,enquirycentre@cumbria.ac.uk; procurement@cumbria.ac.uk,2
De Montfort University,https://www.dmu.ac.uk,University,England,procurement@dmu.ac.uk,1
University of Derby,https://www.derby.ac.uk,University,England,international@derby.ac.uk; askadmissions@derby.ac.uk; businessgateway@derby.ac.uk; security@derby.ac.uk; enquiriesUDB@derby.ac.uk; procurement@derby.ac.uk,6
University of Dundee,https://www.dundee.ac.uk,University,Scotland,procurement@dundee.ac.uk,1
Durham University,https://www.durham.ac.uk,University,England,procurement@durham.ac.uk,1
University of East Anglia,https://www.uea.ac.uk,University,England,procurement@uea.ac.uk,1
University of East London,https://www.uel.ac.uk,University,England,procurement@uel.ac.uk,1
University of Edinburgh,https://www.ed.ac.uk,University,Scotland,procurement@ed.ac.uk,1
University of Essex,https://www.essex.ac.uk,University,England,enquiries@essex.ac.uk; admit@essex.ac.uk; pgadmit@essex.ac.uk; comms@essex.ac.uk; sport@essex.ac.uk; procurement@essex.ac.uk,6
University of Exeter,https://www.exeter.ac.uk,University,England,abuse@exeter.ac.uk; inbound@exeter.ac.uk; outbound@exeter.ac.uk; exeterao@exeter.ac.uk; accommodation@fxplus.ac.uk; procurement@exeter.ac.uk,6
University of Glasgow,https://www.gla.ac.uk,University,Scotland,med-sch-dental-ug@glasgow.ac.uk; med-sch-admissions@glasgow.ac.uk; vet-admissions@glasgow.ac.uk; shortcourses@glasgow.ac.uk; media@gla.ac.uk; procurement@gla.ac.uk,6
University of Gloucestershire,https://www.glos.ac.uk,University,England,admissions@glos.ac.uk; procurement@glos.ac.uk,2
University of Greenwich,https://www.gre.ac.uk,University,England,international@greenwich.ac.uk; postgraduateresearch_admissions@gre.ac.uk; studentcentre@gre.ac.uk; ah.accommodation@gre.ac.uk; gr.accommodation@gre.ac.uk; procurement@gre.ac.uk,6
