name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
Abbey Primary School,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
All Saints National Academy,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Alumwell Infant School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Alumwell Junior School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Barcroft Primary School,Willenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Beacon Primary School,New Invention,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Bentley West Primary School,Bentley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Birchills CE Community Academy,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Blackwood School,Streetly,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Blakenall Heath Junior School,Blakenall Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Bloxwich Academy,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Blue Coat CE Infant School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Blue Coat CE Junior School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Brownhills West Primary School,Brownhills,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Busill Jones Primary School,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Butts Primary School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Caldmore Primary Academy,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Castlefort JMI School,Walsall Wood,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Christ Church CE Primary School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Chuckery Primary School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Cooper and Jordan CE Primary School,Aldridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
County Bridge Primary School,Bentley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Croft Academy,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Delves Infant School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Delves Junior School,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Edgar Stammers Primary Academy,Walsall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Elmore Green Primary School,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Fibbersley Park Academy,Willenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Goldsmith Primary Academy,Harden,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Greenfield Primary School,Shelfield,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Hillary Primary School,Pleck,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Holy Trinity CE Primary School,Brownhills,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Jubilee Academy Mossley,Bloxwich,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
King Charles Primary School,Bentley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
Kings Hill Primary School,Darlaston,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Walsall
