name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Congerstone Primary School,Community school,Open,Shackerstone Road,Congerstone,Nuneaton,Warwickshire,CV13 6NH,http://www.congerstone.leics.sch.uk/,1827880243.0,Mrs,Alison,Ruff,Headteacher,Does not apply,Mixed,Primary,,Hinckley and Bosworth,119949,school.office@congerstone.leics.sch.uk,False,False,Good,True,
Sheepy Magna Church of England Primary School,Voluntary controlled school,Open,Main Road,Sheepy Magna,Atherstone,Warwickshire,CV9 3QR,http://www.sheepymagna.leics.sch.uk,1827880395.0,Mrs,Alison,Field,Headteacher,Church of England,Mixed,Primary,,Hinckley and Bosworth,120158,,True,True,,True,
Witherley Church of England Primary School,Voluntary controlled school,Open,Church Road,Witherley,Atherstone,Warwickshire,CV9 3NA,http://www.witherley.leics.sch.uk,1827712198.0,Mrs,Debbie,Middleton,Headteacher,Church of England,Mixed,Primary,,Hinckley and Bosworth,120172,,True,False,,True,"Mr Mark Essex, Mrs Gaynor Smith, Mr Michael Armstrong"
Atherstone Nursery School,Local authority nursery school,Open,Kings Avenue,(Ent Opp Fire Station),Atherstone,Warwickshire,CV9 1LF,www.atherstonenurseryschool.com,1827794164.0,Mrs,Nicola,Burton,Headteacher,Does not apply,Mixed,Nursery,,North Warwickshire and Bedworth,125484,admin1000@welearn365.com,True,False,Outstanding,True,"Mrs Nicci Burton, Mrs Grace Shergold, Mrs Cheryl Acton"
Bedworth Heath Nursery School,Local authority nursery school,Open,Glebe Avenue,,Bedworth,Warwickshire,CV12 0DP,www.bedworthheathnursery.co.uk,2477752392.0,Mrs,Nicola,Burton,Headteacher,Does not apply,Mixed,Nursery,,North Warwickshire and Bedworth,125486,,False,False,,False,
Whitnash Nursery School,Local authority nursery school,Open,Nursery Lane,Whitnash,Leamington Spa,Warwickshire,CV31 2PW,www.whitnashnurseryschool.org.uk,1926335312.0,Mrs,Rachel,Gillett,Headteacher,Does not apply,Mixed,Nursery,,Warwick and Leamington,125487,admin1003@welearn365.com,False,False,Outstanding,False,
Kenilworth Nursery School & Early Years Training Centre,Local authority nursery school,Open,Bertie Road,,Kenilworth,Warwickshire,CV8 1JP,www.kenilworthns.org.uk,1926853394.0,Mrs,Rachel,Gillett,Headteacher,Does not apply,Mixed,Nursery,,Kenilworth and Southam,125488,,False,False,Outstanding,False,
Warwick Nursery School,Local authority nursery school,Open,Coventry Road,,Warwick,Warwickshire,CV34 4LJ,www.warwicknurseryschool.org,1926492701.0,Mrs,Cathy,Bignold,Headteacher,Does not apply,Mixed,Nursery,,Warwick and Leamington,125490,admin1022@welearn365.com,True,True,,True,
Stockingford Maintained Nursery School,Local authority nursery school,Open,St Paul's Road,Stockingford,Nuneaton,Warwickshire,CV10 8HW,www.stockingfordnurseryschool.co.uk,2476383708.0,Mrs,Katherine,King,Headteacher,Does not apply,Mixed,Nursery,,Nuneaton,125491,example@gmail.com,True,False,Outstanding,True,
Nursery Hill Primary School,Community school,Open,Ansley Common,,Nuneaton,Warwickshire,CV10 0PY,www.nurseryhillprimary.co.uk/,2476392318.0,Mrs,Sarah,Jeans,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125500,,False,False,,False,
