name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
Bantock Primary School,Penn Fields,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Berrybrook Primary School,Scotlands,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Bilston CE Primary School,Ettingshall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Bushbury Hill Primary School,Bushbury,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Bushbury Lane Academy,Oxley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Castlecroft Primary School,Castlecroft,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Christ Church CE Infant School,Tettenhall Wood,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Christ Church CE Junior School,Tettenhall Wood,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Claregate Primary School,Claregate,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Corpus Christi RC Primary Academy,Ashmore Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
D'Eyncourt Primary School,Wood Hayes,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Dovecotes Primary School,Dovecotes,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Dunstall Hill Primary School,Dunstall Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
East Park Academy,East Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Eastfield Primary School,Moseley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Edward the Elder Primary School,Wood End,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Elston Hall Primary School,Fordhouses,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Fallings Park Primary School,Fallings Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Field View Primary School,Bunker's Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Goldthorn Park Primary School,Goldthorn Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Graiseley Primary School,Graiseley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Grove Primary Academy,All Saints,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Hill Avenue Primary School,Lanesfield,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Holy Rosary RC Primary Academy,Monmore Green,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Holy Trinity RC Primary School,The Lunt,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Lanesfield Primary School,Lanesfield,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Long Knowle Primary School,Wood Hayes,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Loxdale Primary School,Parkfields,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Manor Primary School,Woodcross,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Merridale Primary School,Merridale,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Nishkam Primary School,Merridale,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Northwood Park Primary School,Bushbury,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Oak Meadow Primary School,Ashmore Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Palmers Cross Primary School,Tettenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Parkfield Primary School,Parkfields,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Perry Hall Primary School,Ashmore Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Rakegate Primary School,Oxley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
The Royal School,Blakenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Alban's CE Primary Academy,Ashmore Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Andrew's CE Primary School,Whitmore Reans,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Anthony's RC Primary Academy,Fordhouses,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Bartholomew's CE Primary School,Penn,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Jude's CE Primary Academy,Tettenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Luke's CE Primary School,Blakenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Martin's CE Primary School,Bradley,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Mary's RC Primary School,Fallings Park,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Michael's CE Primary School,Tettenhall,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Michael's RC Primary Academy,Merry Hill,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Patrick's RC Primary Academy,Wood End,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Paul's CE Primary School,Pendeford,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Stephen's CE Primary School,Heath Town,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Teresa's RC Primary Academy,Parkfields,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
St Thomas' CE Primary Academy,Wood End,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
SS Mary and John's RC Primary Academy,All Saints,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
SS Peter and Paul RC Primary Academy,Newbridge,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Spring Vale Primary School,Parkfields,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Springdale Primary School,Penn,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Stow Heath Primary School,Stow Heath,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Stowlawn Primary School,Stowlawn,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
Trinity CE Primary Academy,Heath Town,Primary,West Midlands,,,,,,,,,,,,,False,False,,False,,Wolverhampton
